,5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2022/2023 QUARTER 1 ( 16 March 2022 - 15 June 2022) REPORT DEVIATIONS,,,,,,,,,
Number,Date Received By GMC (yyyy/mm/dd),"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","Not supported/Supported/Conditional
supported
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),Contract expiry (yyyy/mm/dd)
1,2022/06/15,"African Exploration Mining and Finance
Corporation SOC Ltd (AEMFC)","Insourcing of Higher-Grade coal for
quality management service Eskom Coal
Supply Agreement",Litho Coal (Pty) Ltd,"37 432 500,00","Original coal suppliers declared they do
not have coal to sell to AEMFC",Noting,2022/06/07,Not Stated,Not Stated
2,2022/06/15,"African Exploration Mining and Finance
Corporation SOC Ltd (AEMFC)",Coal Transporters,"Moffats Logistics (Pty) Ltd; Rangi
Logistics (Pty) Ltd","45 720 000,00","More cost effective and the need for
more coal transporters",Noting,2022/06/07,Not Stated,Not Stated
3,2022/06/15,"African Exploration Mining and Finance
Corporation SOC Ltd (AEMFC)","Diesel pumps for dewatering from
Original Equipment Manufacturing (OEM)","Rocktuff Pump and Mining Supplies
(Pty) Ltd","4 303 415,00","Original appointed supplier failed to
deliver the required pumps",Noting,2022/06/07,Not Stated,Not Stated
4,2022/06/15,"African Exploration Mining and Finance
Corporation SOC Ltd (AEMFC)","Isuzu MU-X, 3.0TD 4X4 vehicle",Isuzu Woodmead,"780 400,00","Urgent need currently vehicles not fit for
purpose",Noting,2022/06/07,Not Stated,Not Stated
5,2022/06/15,"African Exploration Mining and Finance
Corporation SOC Ltd (AEMFC)","Provision of security services for a period
not exceeding twelve months","Fela Xonho Projects (Pty) Ltd; Vicone
Protection Services (Pty) Ltd and
Mulunga Security (Pty) Ltd","9 542 369,88","Original contractor Bidvest was
terminated due to non-performance",Noting,2022/06/07,Not Stated,Not Stated
6,2022/06/15,"African Exploration Mining and Finance
Corporation SOC Ltd (AEMFC)",Appointment of Diesel Service Providers,Cashcrete and Logistics (Pty) Ltd,"16 640 000,00",More cost effective than RT-contract,Noting,2022/06/07,Not Stated,Not Stated
7,2022/03/25,Agricultural Research Council (ARC),"Independent reviewers for the second
phase of institutional review",Multiple suppliers,"2 500 000,00","Independent reviewers who are
appointed based on their skills",Not Supported,2022/06/02,Not Stated,Not Stated
8,2022/05/12,Airports Company South Africa (ACSA),"Provision of highly specialized strategic
economic regulation consulting and policy
influence services for a period of twenty-",SL Economic (Pty) Ltd,"3 000 000,00",Continuation of service,Within AA/AO mandate Noting,2022/05/12,Not Stated,Not Stated
9,2022/05/24,"Armaments Corporation of South Africa
SOC Ltd (ARMSCOR)",Calibration of clinometers,MTS Callibration Pty Ltd,"4 830,00",Preferred Supplier / Single Source,Within AA/AO mandate Noting,2022/05/24,2022/05/12,2022/06/20
10,2022/05/23,"Armaments Corporation of South Africa
SOC Ltd (ARMSCOR)",Repair and service of lawnmowers,LawnMower City Midrand,"56 342,63",Preferred Supplier / Single Source,Within AA/AO mandate Noting,2022/05/23,2022/05/16,2022/06/10
11,2022/05/20,"Armaments Corporation of South Africa
SOC Ltd (ARMSCOR)","Perocurement of Elno flying helmet and
spares",Elno SN,"1 469 851,31",Sole service provider,Within AA/AO mandate Noting,2022/05/20,Not Stated,Not Stated
12,2022/05/16,"Armaments Corporation of South Africa
SOC Ltd (ARMSCOR)",Rental of Mobility standby generator,RP Electrical and pools,"993 475,78",Preferred Supplier / Single Source,Within AA/AO mandate Noting,2022/05/16,Not Stated,Not Stated
13,2022/04/29,"Armaments Corporation of South Africa
SOC Ltd (ARMSCOR)",Investigation services,PWC,"207 757,85",Preferred Supplier / Single Source,Within AA/AO mandate Noting,2022/04/29,Not Stated,Not Stated
14,2022/06/06,"Banking Sector Education and Training
Authority (BANKSETA)SETA",Board Membership,Institute of Directors SA,"41 940,00","Single Source - IODSA is the only
registered professional body for Directors
in South Africa",Within AA/AO mandate Noting,2022/05/20,2022/06/02,2022/12/31
15,2022/05/13,"Commission for Conciliation, Mediation &
Arbitration","Provision of Caseware License, Support &
Maintenance Services",ADAPT IT (PTY) LTD,"285 006,80",Sole supplier,Within AA/AO mandate Noting,2022/05/22,2022/04/01,2023/05/31
16,2022/05/13,"Commission for Conciliation, Mediation &
Arbitration","Provision of Armed Escort forCourier of
Laptops to various CCMA Provincial
Offices",SKYNET (PTY) LTD,"10 350,00","The nature of the services required,
normal procurement processes cannot
be followed, as that would involve",Within AA/AO mandate Noting,2022/05/22,2022/12/05,2023/05/31
17,2022/09/06,"Commission for Conciliation, Mediation &
Arbitration","Continuous Professional Development
training programmes for Internal Audit,
Risk Management and Governance","Leadership Academy for Guradians of
Governance","99 786,65","Subsidiary of Internal Auditors South
Africa ( IIA SA), the professional body
and the sole provider for the Continuous",Within AA/AO mandate Noting,2022/09/06,2022/06/14,2023/03/31
18,2022/05/26,"Companies and Intellectual Property
Commission (CIPC)",IP system Maintenenca and,Sword SA,"34 971 271,68",Sole service provider,Within AA/AO mandate Noting,2022/05/12,Not Stated,Not Stated
19,2022/06/02,Cross-Border Road Transport Agency,Compliance Management Training,University of Johannesburg,"17 990,00",Sole Service Provider,Noting,2022/06/02,Not stated,Not stated
20,2022/06/02,Cross-Border Road Transport Agency,Transport Forum and Showcase,DMG Events,"123 406,50",Sole Service Provider,Noting,2022/06/02,Not stated,Not stated
21,2022/06/02,Cross-Border Road Transport Agency,Sage Consultant Online,MondTes Holdings,"235 980,00",Sole Service Provider,Noting,2022/06/02,Not stated,Not stated
22,2022/03/17,Denel,"Renewal of licence fees of the ERP
System",Qmuzik Technologies (Pty) Ltd,"4 404 109,00",Preferred Supplier / Single Source,Conditional Support,2022/03/17,2022/04/01,2022/09/30
23,2022/03/25,"Department of Agriculture, Land Reform
and Rural Development (DALRRD)","Procurement of additional 13 600 litres of
liquid insecticide (Sumi Alpha ULV) for
the control of the current brown locust",Philagro South Africa,"860 200,00",Emergency procurement,Noting,2022/03/24,Not Stated,Not Stated
24,2022/03/25,"Department of Agriculture, Land Reform
and Rural Development (DALRRD)","Procurement of additional 54 200 litres of
liquid insecticide (Decis UL7) for the
control of the current brown locust",Bayer,"11 884 027,50",Emergency procurement,Noting,2022/03/24,Not Stated,Not Stated
25,2022/03/25,"Department of Agriculture, Land Reform
and Rural Development (DALRRD)",Management of the LRMF panellists,Nkosi Sabelo Attorneys,"0,00",Continuation of service,Within AA/AO mandate Noting,2022/03/25,Not Stated,Not Stated
26,2022/04/19,"Department of Agriculture, Land Reform
and Rural Development (DALRRD)","Procurement of additional 38 000 litres of
liquid insecticide for the control of brown
locust outbreak",Philagro South Africa,"2 403 500,00",Emergency procurement,Noting,2022/6/7,Not Stated,Not Stated
27,2022/05/06,"Department of Agriculture, Land Reform
and Rural Development (DALRRD)","Procurement of additional 200 000 litres
of liquid insecticide for the control of
brown locust outbreak",Philagro South Africa,"13 800 000,00",Emergency procurement,Noting,2022/6/7,Not Stated,Not Stated
28,2022/04/22,"Department of Agriculture, Land Reform
and Rural Development (DALRRD)","Procurement of parking services at City
Place Building",Advance on Point Solution,"1 148 180,92",Prefered Service Provider,Noting,2022/04/22,Not Stated,Not Stated
29,2022/03/18,"Department of Communications and
Digital Technologies","Repurpose the balance of 2021/22 SA
Connect Phase 1 funds for Phase 2 of SA
Connect",BBI AND SENTECH,"2 500 000 000,00",Preferred supplier,Conditional Support,2022/03/18,2022/04/01,2025/03/31
30,2022/03/28,Department of Employment and Labour,"Venue for the 5TH Global Conference on
Child Labour to be Held from 16-20 May
2022","Inkosi Albert Luthuli International
Convention Centre (ICC)","45 000 000,00",Single Source,Conditional Support,2022/03/27,2022/05/16,2022/05/20
31,2022/04/08,Department of Employment and Labour,Supply and Delivery of various fabrics,Da Gama Textiles,"17 105 778,96",Sole supplier,Within AA/AO mandate Noting,2022/04/08,2022/04/01,2023/03/31
32,2022/04/08,Department of Employment and Labour,Supply and Delivery of fabric toweling,Collibri Towelling (Pty)Ltd,"6 903 577,80",Sole supplier,Within AA/AO mandate Noting,2022/04/08,2022/04/01,2023/03/31
33,2022/03/17,"Department of Environment, Forestry
and Fisheries (DEFF)","The implementation of
Local Government Sector Education and
Training (LGSETA) funded learning",University of Venda,"1 248 000,00",Single Source,Not Supported,2022/03/17,Not Stated,Not Stated
34,2022/03/28,"Department of Environment, Forestry
and Fisheries (DEFF)","The implementation of
Local Government Sector Education and
Training (LGSETA) funded learning",University of Venda,"1 248 000,00",Single Source,Not Supported,2022/03/17,Not Stated,Not Stated
35,2022/03/16,"Department of Planning, Monitoring and
Evaluation (DPME)","Procurement of vehicles directly from
dealerships without using RT57 contract",BMW SA,"2 332 320,00","Services were required on emergency
basis",Not Supported,2022/03/03,Once off,Once off
36,2022/03/31,"Department of Planning, Monitoring and
Evaluation (DPME)",SITA Presidential Hotline ICT service,SITA,"0,00","Services required for business continuity
while tender process is underway",Within AA/AO mandate Noting,2022/03/31,2022/04/01,2023/03/31
37,2022/04/12,"Department of Planning, Monitoring and
Evaluation (DPME)",Various services,"SABC, SITA and Microsoft","9 741 869,36",Continuation of service,Noting,2022/03/31,Not Stated,Not Stated
,5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2022/2023 QUARTER 1 ( 16 March 2022 - 15 June 2022) REPORT DEVIATIONS,,,,,,,,,
Number,Date Received By GMC (yyyy/mm/dd),"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","Not supported/Supported/Conditional
supported
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),Contract expiry (yyyy/mm/dd)
38,2022/04/01,"Department of Planning, Monitoring and
Evaluation (DPME)",SITA Presidential Hotline ICT service,SITA,"0,00","Services required for business continuity
while tender process is underway",Within AA/AO mandate Noting,2022/6/7,4/1/2022,3/31/2023
39,2022/03/17,"Department of Public Works and
Infrastructure (DPWI)","Upgrade, Enhance,complete and
intergrate ERP modules",Archibus SA,"48 000 000,00",Single Source,Conditional Support,2022/03/16,Not Stated,Not Stated
40,2022/03/29,"Department of Public Works and
Infrastructure (DPWI)",Multi-year use of implementing agents,Not Stated,"0,00",Single Source,Supported,2022/03/25,Not Stated,Not Stated
41,2022/06/01,"Department of Small Business
Development (DSBD)","Pilot project for small enterprise
development on medicinal cannabis and
industrial hemp.",CSIR,"2 000 000,00","The Council for Scientific and Industrial
Research (CSIR) is a leading scientific
and technology research organisation",Within AA/AO mandate Noting,2022/05/31,Not Stated,Not Stated
42,2022/06/01,"Department of Small Business
Development (DSBD)","To assist the Department of Small
Business Development in Implementing
the cabinet approved Incorporation of",GTAC,"6 319 925,10","GTAC is uniquely positioned to provide
the required support given its specific
expertise in respect of public entity",Within AA/AO mandate Noting,2022/04/28,2022/05/01,2023/12/31
43,2022/04/11,"Department of Social Development
(DSD)",Hosting of Call centre for GBV,Vodacom,"2 000 000,00",Preferred bidder,Within AA/AO mandate Noting,2022/04/08,Not Stated,Not Stated
44,2022/03/30,Department of Tourism (DoT),"Deliver tourism resource efficiency
practitioner training programme","National Cleaner Production Centre of
South Africa (NCPCSA)","6 000 000,00",Single Source,Not Supported,2022/03/30,Not Stated,Not Stated
45,2022/03/25,Department of Transport (DOT),"Request to deviate and extend subsidy
bus contracts",Not Stated,"0,00",Continuation of service,Not Supported,2022/03/25,Not Stated,Not Stated
46,2022/06/09,"Department of Women, Youth and
Persons with Disabilities (DWYPD)","HSRC to manage and execute research
and evaluation",HSRC,"8 800 000,00",Reasons not provided,Within AA/AO mandate Noting,2022/05/30,Not stated,Not stated
47,2022/06/07,Ditsong: Museums of Africa,"Appointment of Bakgone Chartered
Accountants on an urgent basis to provide
GRAP technical opinion in the finalisation",Bakgone Chartered Accountants,"48 000,00","To provide technical opinion, on an
urgent basis, to assist in the drafting of
the annual financial statements for",Within AA/AO mandate Noting,2022/05/26,2022/05/26,2022/05/27
48,2022/05/13,Eskom Holdings SOC Ltd,"Bentley Systems International Limited for
Licensing, and Maintenance",Bentley Systems International Limited,"0,00",Preferred Supplier / Single Source,Noting,2022/05/13,2022/11/01,2022/11/01
49,2022/06/06,"Export Credit Insurance Corporation of
South Africa SOC Ltd (ECIC)","Provision of Short-Term Insurance for a
period of 12 months",Sankofa Insurance Brokers (Pty) Ltd,"845 814,44",Two quotes received,Within AA/AO mandate Noting,Not Stated,2022/06/01,Not Stated
50,2022/06/06,"Export Credit Insurance Corporation of
South Africa SOC Ltd (ECIC)","Stand build for Enlit Africa Event (Cape
Town)",GL events South Africa (Pty) Ltd,"26 898,58",Two quotes received,Within AA/AO mandate Noting,2022/06/01,2022/06/07,2022/06/09
51,2022/06/06,"Export Credit Insurance Corporation of
South Africa SOC Ltd (ECIC)","Stand build for Manufacturing Indaba
(Sandton Convention Centre)",GL events South Africa (Pty) Ltd,"28 784,58",Two quotes received,Within AA/AO mandate Noting,2022/06/02,2022/06/21,2022/06/22
52,2022/03/29,Financial and Fiscal Commission (FFC),Office Accommodation,Dipula Investment Trust,"2 797 289,40",Single Source,Supported,2022/03/29,2022/05/01,2023/04/30
53,2022/03/18,Financial Intelligence Centre,"Renewal of i2 Analyst Notebook, iBase
and TextChart software licences and
support services",Hidden Links (Pty) Ltd,"2 347 628,03",Sole Supplier,Noting,2022/03/18,2022/04/01,2025/03/31
54,2022/06/08,Financial Intelligence Centre,"Onsite Technical Support Services from
CA Southern Africa (Pty) Ltd to assist
with the upgrading of the Privileged",CA Southern (Pty) Ltd,"207 077,57","The FIC has been using the Privileged
Access Management (PAM) solution
since November 2018. The solution was",Within AA/AO mandate Noting,2022/04/14,Not indicated,Not indicated
55,2022/05/17,Financial Intelligence Centre,"Appointment of a service provider to
maintain the security beams for the
Financial Intelligence Centre for a period",Multinet Systems (Pty) Ltd,"44 739,60","Only one response was received on the
closing date and time",Within AA/AO mandate Noting,2022/05/20,Not indicated,Not indicated
56,2022/05/17,Financial Intelligence Centre,"Request for approval to appoint the Korn
Ferry Hay Group on a month-to-month
basis to provide job evaluation/grading",Korn Ferry Hay group,"200 000,00","To allow the competitive process to be
followed and finalised",Within AA/AO mandate Noting,2022/05/20,Not indicated,Not indicated
57,2022/05/05,Financial Intelligence Centre,"Request for approval to appoint Corporate
and Export solution CC to supply the
Financial Intelligence Centre with",Corporate and Export solution CC,"17 256,90","Only two responses were received on the
closing date and time",Within AA/AO mandate Noting,2022/05/06,Not indicated,Not indicated
58,2022/05/05,Financial Intelligence Centre,"Appointment of a service provider to
conceptualise, design and layout the
samlit annual review report for a three-",Icandicq (Pty) Ltd,"210 424,03","Only two responses were received on the
closing date and time",Within AA/AO mandate Noting,2022/05/06,Not indicated,Not indicated
59,2022/05/05,Financial Intelligence Centre,"Appointment of a service provider to
install fire beacon indicators for the
Financial Intelligence Centre",Firetech Intesol Projects (Pty) Ltd,"7 216,25","Only two responses were received on the
closing date and time",Within AA/AO mandate Noting,2022/05/06,Not indicated,Not indicated
60,2022/05/05,Financial Intelligence Centre,"Appointment of Datacentrix (Pty) Ltd for
the provision of F5 virtual licenses for the
Financial Intelligence Centre",Datacentrix (Pty) Ltd,"569 014,18","Only two responses were received on the
closing date and time",Within AA/AO mandate Noting,2022/05/06,2022/05/01,2025/04/30
61,2022/05/05,Financial Intelligence Centre,"Appointment of Orange Dot Technology
(Pty) Ltd for MYQ licence upgrade for the
Financial Intelligence Centre",Orange Dot Technology (Pty) Ltd,"9 177,00","Only one response was received on the
closing date and time",Within AA/AO mandate Noting,2022/05/06,Not indicated,Not indicated
62,2022/05/05,Financial Intelligence Centre,"Appointment of Cloud Essentials (Pty) Ltd
for eNow licences for the Financial
Intelligence Centre",Cloud Essentials (Pty) Ltd,"259 008,75","Only one response was received on the
closing date and time",Within AA/AO mandate Noting,2022/05/06,2022/05/01,2025/04/30
63,2022/03/28,Financial Sector Conduct Authority,"Production of Financial Literacy Reality
TV series tittle ""Ke Zaka""","South African Broadcasting Corporation
(SABC)","4 346 739,00",Single Source,Supported,2022/02/18,Not Stated,Not Stated
64,2022/03/30,"Food and Beverage Manufacturing
Industry Sector Education and Training
Authority (FoodBev SETA)SETA","To provide training to FoodBev SETA
Board members","Institute of Directors South Africa
(IODSA)","260 000,00",Single Source,Supported,2022/03/28,2022/04/01,2023/03/31
65,2022/03/30,"Government Communication &
Information System","Sharepoint Enhancement, Maintenance
and Support",DAC System,"344 448,00","Tender in progress and Business
Continuity",Conditional Support,2022/03/30,Not Stated,Not Stated
66,2022/03/25,"Government Pensions Administration
Agency","Media channels for educational,
marketing and advertising purposesin
designated area or locations per",Various Suppliers,"14 720 000,00",Target Audiance,Conditional Support,2022/03/23,Not Stated,Not Stated
67,2022/05/06,"Government Pensions Administration
Agency",Temp employment For 6 Months,FEMPOWER PERSONNEL Pty Ltd,"210 995,58","Preferred Service Provider;continuation
of services",Within AA/AO mandate Noting,2022/05/06,2022/04/11,2022/10/31
68,2022/05/06,"Government Pensions Administration
Agency",Employment placement fees,FEMPOWER PERSONNEL Pty Ltd,"46 623,74","Preferred Service Provider;continuation
of services",Within AA/AO mandate Noting,2022/05/06,2022/04/12,Once-off
69,2022/05/06,"Government Pensions Administration
Agency","Testifying in desciplinary Hearing
Involving Senior GPAA Official","NEXUS FORENSIC SERVICES PTY
LTD","60 057,60","Preferred Service Provider;continuation
of services",Within AA/AO mandate Noting,2022/05/06,2022/04/19,Once-off
70,2022/05/06,"Government Pensions Administration
Agency",Outside Broadcasting,VAALTAR FM COMMUNITY,"40 000,00","Preferred service provider, target
audience within specific area",Within AA/AO mandate Noting,2022/05/06,2022/04/19,Once-off
