Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Value of Contract,Reason for Deviation,"not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
1,Airports Company South Africa,"Prepare and submit an application for the subdivision, rezoning and/or consent used of the
subdivided portion of Cape Farm 544-RE","Visionplan CC t/a NM Associates Planners and
Designers","1,115,500.00",Continuity of service,Conditional support,2019/10/01,2021/09/30
2,Armscor,"Request for closed bid approval for Stores cleaning materials , Stores Stationery , Stores
and dry goodsand promotional items",Not stated,"14,000,000.00",Closed bid to empower BBBEE sectors,Not supported,Not Stated,Not Stated
3,Arts and Culture,Editing and reprinting of Dr Ester Mahlangu's book,Flow Communications,"71,679.50",Single Source procurement method,Supported,Once off,Once off
4,Basic Education,Modernisation of SA School Administration and Management System,National Education Collaboration Trust (NECT),"1 00,000,000.00",SITA process was unsuccessful,Closed,Not Stated,Not Stated
5,Basic Education,Provision of Braille English and Afrikaans textbooks,Blind SA and Pioneer Printers,"1 6,716,248.59",Court Order,Supported,2019/10/14,2021/12/31
6,Basic Education,Closed tender for Microsoft Campus Licensing Agreement,Various Suppliers,"4 ,817,342.93","Only accredited Microsoft Licensing Solution Providers
in SA",Supported,Not Stated,Not Stated
7,Basic Education,Implementation of SAFE Initiative,National Education Collaboration Trust (NECT),0.00,"Has Illustrated capacity and capability to perform as an
Implementing Agent",Supported,Not Stated,Not Stated
8,Broadband Infraco,Lease of Fibre Optical Core for 389.2 KM,Eskom,"35,175,460.07",Single Source procurement method,Supported,Date of approval,2024/08/31
9,Broadband Infraco,Purchasing of Gold subscription,BMIT Research and Consulting,"538,200.00",Single Source procurement method,Not supported,2019/09/01,2020/09/31
10,CCMA,"Lease of office accomodation-Mbombela, Polokwane, Tzaneen and East London",Closed Bid,0.00,Closed bid,Supported,Not stated,Not stated
11,Competition Commission,Notice of appeal with the Comptition Appeal Court,ADVOCATE Viwe Notshe,"500,000.00",Single Source procurement method,Supported,Date of approval,Not stated
12,Competition Commission,"Representation for the matter between the Commission and Bank of America Merill Lynch
INT Ltd and 22 other banks",Financial Experts,"500,000.00",Single Source procurement method,Supported,Date of approval,Not stated
13,Correctional Services,Contract register services,Not stated,0.00,Impracticality,Conditional support,Not stated,Not stated
14,Council for Geoscience,"Procurement research and education network (REN) services provided on the South African
Research and Education Network (SANReN) infrastructure",TENET,"2 ,265,272.38",Sole source procurement,Noting,Not Stated,Not Stated
15,Council for Medical Schemes,Insurance Brokerage services,African Dawn Risk Solutions (Pty) Ltd,"5 84,587.00","Due to limited time to re-advertise the tender and
appoint before end of December 2019",Supported,2020/01/01,2020/12/31
16,DBSA,"Conduct operationalisation, energy trading and risk management",CTRM Advisory,"15,160,000.00",Single Source procurement method,Not supported,Date of approval,12 months
17,Denel,Shorter advertisement period,Not stated,0.00,Meet client's deadline,Conditional support,Not Stated,Not Stated
18,Denel,Manpower to Operator Simulator,Rubika Support System,"115,115.00",Preferred Supplier,Conditional support,Not Stated,Not Stated
19,Denel,Armoured Glass Windows for RG31 Mk5E and Spares,SA Bullet,"5,116,287.00",Industrialised Supplier,No Finalised,Not Stated,Not Stated
20,Denel,Supplier of Rubber and Foam Components For RG31 Mk5E APC Vehicles and Spares,Sondor Industries,"5,116,2287.00",Industrialised Supplier,No Finalised,Not Stated,Not Stated
21,Denel,SAP Functional Support,EOH Ltd,"1,117,200.00",Preferred Supplier,Not supported,7 months,2020/03/31
22,Denel,Conditioning Kit For RG31 MK5E APC Vehicles and Spares,Booyco,"4,739,295.00",Industrialised Supplier,,Not Stated,Not Stated
23,Denel,African Standby Force Command Control Communication Information System (ASFC3IS),"Global Command and Control Technologies
(Pty) Ltd","70,000,000.00",Preferred Supplier,within AA/AO mandate Noting,Not Stated,Not Stated
24,Denel,Rewinding of 2 Alternators,J Schipper & Son's,"37,755.46",Preferred Supplier,within AA/AO mandate Noting,Not stated,Not stated
25,Denel,Armoured Glass Windows for RG31 Mk5E and Spares,SA Bullet,"6,268,647.00",Industrialised Supplier,Conditional support,Not stated,Not stated
26,Denel,Supplier of Rubber and Foam Components For RG31 Mk5E APC Vehicles and Spares,Sondor Industries,"5,116,2287.00",Industrialised Supplier,Conditional support,Not stated,Not stated
27,Denel,Conditioning Kit For RG31 MK5E APC Vehicles and Spares,Booyco,"4,739,295.00",Industrialised Supplier,Conditional support,Not stated,Not stated
28,Denel,Spall Liners,Bullet Proofing Technologies,"8,124,612.21",Industrialised Supplier,Conditional support,Not stated,Not stated
29,Denel,Air Charter Services For Cargo,Shortened advertisement period,"3,500,000.00",Meet shipping deadline,Conditional support,Not stated,Not stated
30,Denel,Kamas Program Obsolescence Report,LMS,"61,468.73",Continuity of service,"Within AA/AO mandate
Noting",Not stated,Not stated
31,"Department of Agriculture, Forestry
and Fisheries",Fund manager,Land Bank,0.00,Only legally mandated to offer the service,Closed,Not Stated,Not Stated
32,"Department of Justice and
Constitutional Developmnent",Legal Publications,"Lexis Nexis, Juta and Sabinet","30,000,000.00",Sole procurement method,within AA/AO mandate Noting,2019/08/01,2019/09/30
33,Department of public enterprises,Alternative Office Accomodation,Not stated,0.00,Emergency procurement method,"Within AA/AO mandate
Noting",Not Stated,Not Stated
34,Department of Public Enterprises,Restructuring of South African Airways SOC Ltd,Seabury Consulting,0.00,Continuation of work,Conditional support,Not stated,Not stated
35,Department of public enterprises,Development of a State Owned Companies’ (SOC) Risk and Integrity Framework,GTAC,"1,838,592.00",Expertise,Conditional support,2019/12/01,2020/05/30
36,Department of Transport,Collection of debts via Debt Collectors,Not stated,Not Stated,The State Attorney is limited to collect debts.,Supported,Not Stated,Not Stated
37,Department of Transport,Provide support in terms of project management expertise to PRASA on capital projects.,Development Bank of Southern Africa,0.00,DBSA offers Prasa below market related fees.,Not Supported,Not Stated,Not Stated
38,"Deputy National Director of Public
Prosecutions",National Library Subscription,Lexis Nexis (Pty) Ltd,"3,628,381.00",Sole procurement method,within AA/AO mandate Noting,Not stated,Not stated
,"Deputy National Director of Public
Prosecutions",Annual Licence for Assetware,TAT-i-Chain Technologies,"1,406,077.63",Sole procurement method,within AA/AO mandate Noting,2019/06/01,2022/05/31
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Value of Contract,Reason for Deviation,"not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
40,DTI,Technical advisory services,Coega,"12,000,000.00",Impracticality,Conditional support,Not Stated,Not Stated
41,EAAB,Internal Audit Services,Closed Bid request,0.00,Previous contract cancelled due to Irregular Expenditure,Not supported,Not stated,Not stated
42,Environmental Affairs,"Operation phakisa Ocean Economy Northern Cape youth skills development and capacity
building project",SAIMI,"20,000,000.00",Single Source procurement method,Not supported,2019/11/01,2021/10/31
43,Environmental Affairs,Implementation of waste tyre operation capacity,Not Stated,"22,965,054.00",Closed tender,Not supported,2019/11/1,2021/3/31
44,Environmental Affairs,Hosting the1st plastic Colliquim,Birchwood Hotel,"1,957,860.00",Single Source procurement method,Supported,2019/11/19,2019/11/23
45,Environmental Affairs,Apprenticeship traineeship programme,Southern African Shipyards,"5,000,000.00",Single Source procurement method,Supported,Not Stated,Not Stated
46,Environmental Affairs,"Management of Addo Elephant National Park, Robben Island and Namaqua National Park
Marine protected Area",SANParks,"3,000,000.00",Single Source procurement method,Conditional support,Not Stated,Not Stated
47,Environmental Affairs,Managent of the Isimangaliso Marine Protected,Isimangaliso Wetlands,"1,400,000.00",Single Source procurement method,Conditional support,Not Stated,Not Stated
48,Environmental Affairs,"Management of the Ithukela, Aliwal Shoal expansion and Protea Marine protected",Ezemvelo KZN Wil,"2,400,000.00",Single Source procurement method,Supported,Not Stated,Not Stated
49,Environmental Affairs,Management of the Amathole Offshore Marine protected Area,Eastern Cape Parks,"1,200,000.00",Single Source procurement method,Conditional support,Not Stated,Not Stated
50,Environmental Affairs,License renuwal,Computer Foundation,"1,209,531.36",Single Source procurement method,Supported,Not Stated,Not Stated
51,Environmental Affairs,The establishment of and maintenance of the pollution laboratory,Walter Sisulu University,"75,000,000.00",Single Source procurement method,Not supported,2020/4/1,2025/3/31
52,Environmental Affairs,Analysis of routine Rhino deoxyribonucleic acid,Veterinary Genetics Laboratory,"12,075,600.00",Single Source procurement method,Not supported,2020/1/6,2023/12/31
53,Eskom,Arbitration Matter,"Edward Nathan Sonnerbergs Incorporates
(ENSafrica)","635,456.65",Continuity of service,Conditional support,2019/10/25,2019/12/25
54,Eskom,"Rental of Site Camp at Howick North for Storing Project Equipment and Material For
Ariadne Venis 2400KV Line Project",Willowgrange cc,"999,426.36",Continuity of service,Conditional support,2019/11/01,2020/09/30
55,Eskom,"Manufacture, Supply and Delivery of Pulse Jet Fabric Filter Bags for Various Power Stations","Beier Envirotec (Pty) Ltd
Filtafelt (Pty) Ltd","1,038,631,607.77",Two approved suppliers,Not supported,2019/11/12,2025/11/11
56,Eskom,Not publishing on CIDB-i-Tender Portal and Support,Not applicable,0.00,Could not upload the bids for less than 10 working days,"Within AA/AO mandate
Noting",Not applicable,Not applicable
57,Eskom,Design Monitoring and Construction Supervision at Majuba Power Station,Jones and Wagner (Pty) Ltd,"42,253,272.82",Holds full liability for designs,Not supported,Not stated,Not stated
58,Eskom,Unfair Dismissal Dispute,Bowman Gilfillan,"862,040.00",Continuity of service,Conditional support,Not stated,Not stated
59,Eskom,"SAP Licences, Cloud Subscription services, MAX attention, SAP OEM Accredited
Professional Training Services of African User Group Membership Fees",SAP SA (Pty) Ltd,"298,799,739.29",Continuity of service,Not supported,2019/12/01,2022/12/31
60,Estate Agency Affairs Board,Closed bid for Internal Audit services,Not stated,0,Current contract irregular and cancelled,Not supported,Not Stated,Not Stated
61,FIC,Lease of the BoardEffect software solution,Diligent Software,"419,750.00",Sole source procurement,Noted,2019/11/29,2022/11/28
62,FIC,Renewal options of the lease agreement- Cape Town Office,Not stated,0.00,Single Source procurement method,Closed,Date of approval,5 years
63,Film and Publication Board,Procurement of ICT Infrastructure services,SITA,"3,123,395.78",Single Source procurement method,Supported,Date of approval,12 months
64,FPB,Procurement of services of digital agency,Closed bid,0.00,Closed bid,Not supported,Not stated,Not stated
65,FPB,Procurement of infrastructure services,SITA,"3,123,395.78",Single Source procurement method,Noted,Date of approval,12 months
66,FSCA,Update the research of the economics of scale in the retirement funds,"Professor Johannes Fedderke and Neryvia
Pillay","500,000.00",Multiple source,Supported,Date of approval,8 months
67,Government Printing Works,Identity cards envelopes,Merpak,"1,035,000.00",Supplier appointed failed to deliver,Conditional support,Not stated,Not stated
68,Government Printing Works,"Repair air conditioners at the Pavilion 2 security printing facility, these air conditioners",Mjondolo Group (Pty) Ltd,"565,282.50",Emergency procurement method,"Within AA/AO mandate
Noting",Not stated,Not stated
69,GTAC,Development of the costing course e-platform shourt courses,University of Pretoria,0.00,Single Source procurement method,Not supported,Not stated,Not stated
70,Health,National Immunisation Coverage Survey,Wits Health Consortium,"7 ,592,000.00",Continuity of service,Supported,Not Stated,Not Stated
71,Higher Education and Training,Microsoft License (Campus Agreement),Closed bid - Microsoft accredited suppliers,0.00,Closed bid - OEM accredited suppliers,Conditional Support,Not Stated,Not Stated
72,Higher Education and Training,Appointment of ten (10) public universities and two (2) assessment bodies,"Duban University of Technology, Stellenbosch
University, Tshwane University of Technology,
University of Cape Town, University of
Limpopo, University of South Africa, University
of Western Cape, Walter Sisulu University,
Cape Peninsula University of Technology,
Nelson Mandela Metropolitan University,
Independent Examination Board, Benchmark
Assessments","22,000,000.00","The Universities and assessment bodies have been
dealing with qualifications matter for some time",Supported,2021/04/01,2023/03/31
,Higher Education and Training,"Appointment of Dr Bernadette Judith Johnson to assist in completing a report on the state of
transformation of the university sector",Dr Bernadette Judith Johnson,"1,200,000.00",Preffered supplier,Not supported,Not Stated,Not Stated
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Value of Contract,Reason for Deviation,"not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
74,Higher Education and Training,Hosting of National Artisan Development Conference and career festival,Durban ICC,"1,202,502.00",Preferred supplier,Supported,2019/12/5,2019/12/7
75,Higher Education and Training,Printing of Examination certificates,Government printing works,0.00,"Single source - to prevent unlawful issuance of the
certificates",Supported,Not Stated,Not Stated
76,Home Affairs,IT infrastructure support and maintenance,Not Stated,0.00,Notice for deviation,"Within AA/AO mandate
Noting",Not Stated,Not Stated
77,Home Affairs,Paypal for e-permit payment gateway system,Citibank and Paypal,0.00,Extensive international footprint,Conditional support,Not stated,Not stated
78,Home Affairs,"Biometric Access Control Management systems licenses, support and management Lawtrust/DataCentrix",,"189,101,961.30",Sole procurement method,"Within AA/AO mandate
Noting",Not stated,Not stated
79,Housing Development Agency,"Relocation of Tudor shaft resident from informal dwellings to Kagiso Extension 13 Integrated
Residential Development within Mogale City",Rovhanga Best Said Joint Venture,"183,034.00",Continuity of service,"Within AA/AO mandate
Noting",Not stated,Not stated
80,Housing Development Agency,"Completion of the outstanding project milestones on the township establishment at
Sasolburg Properties in the Free State province",Urban Dynamics Town and Regional Planners,"2,126,000.00",Continuity of service,Conditional support,Not stated,Not stated
81,IEC,Google mapping services,28 East (Pty) Ltd,"1,380,000.00",Sole source procurement,Noting,Not stated,Not stated
82,Independent Development Trust,Membership fees payable to professional bodies,Different suppliers,0.00,Single source procurement method,AO/AA to approve,Not Stated,Not Stated
83,Independent Development Trust,Security works at Mpumalanga high court,Edison Power Gauteng,"1,234,764.66",The Group 5 is in the process of liquidation,Conditional support,Not Stated,Not Stated
84,Independent Development Trust,License renewal,Microsoft,"5,928,338.25",Single Source procurement method,Supported,2020/1/1,2022/12/31
85,"International Relations and
Cooperation","Accommodation of South African delegates who will be attending BRICKS Summit to be
held in Brasilia",Windsor Plaza Hotel,0.00,"Brazilian Government has allocated the Windsor Hotel
to the South African delegation",Supported,"Event happening in November
2019","Event happening in
November 2020"
86,"International Relations and
Cooperation",Legal services,Adv De Jager,1 309.00 per hour.,"Adv De Jager has acquired an in depth knowledge,
expertise of and proficiency in departmental prescripts,",Not supported,N/A,N/A
87,"International Relations and
Cooperation","Electrical drawings, upgrading of outdated connections and obtaining compliance certificate",Electro Domestic sprl bvba,578 718.00,Electro Domestic sprl bvba assessed and provided techn,"ical reporNt,o at nsdu pthpeoyr twedere the ch",eapest for uOndnceert aokffing the work,. Once-Off
88,Iziko Museum South Africa,Upgrade of Iziko Museum South Africa foyer,AVNA Architects,"480,000.00",Single Source procurement method,Supported,2019/11/13,Not Stated
89,Labour,Refurbishment of the Departmental Mobile Buses,Mobile Satelite Technology,"4,599,997.70",Single Source procurement method,Not supported,Once off,Once off
90,Labour-UIF,SAP system handover,Accenture,"830,667.17",Single Source procurement method,Supported,Once off,Once off
91,Lepelle Northern Water,Run a trial plant of the SWE System Technology,Empowerment Water Solution (Pty) Ltd,"6 00,000.00","Sole provider of the DWE System Technology and has
exclusive rights and patent","Within AA/AO mandate
Noting",Not Stated,Not Stated
92,Lepelle Northern Water,Report: Pilot for SWE System Technology,Empowerment Water Solution (Pty) Ltd,"3 9,500,000.00",Sole source procurement,Noting,Not Stated,Not Stated
93,Lepelle Northern Water,Physical Security Services for LNW`S National Key Points,Not Stated,"2 ,000,000.00",Current contractor is non-compliant to the regulatory,Conditional support,20201/01/01,2020/03/21
94,"Limpopo Community Education and
training College",74 Square metres of additional office space,Valinor Trading 209 CC,"336,510.79","requirements
Single Source procurement method","Within AA/AO mandate
Noting",Not Stated,Not Stated
95,"National Film and Video Foundation of
SA","Appointment of Sandton Convention Centre through Tsogo Sun for hosting the South African
Film and Television awards (SAFTAS) on 14 March 2020",Sandton Convention Centre,"3,997,195.45",Preferred supplier,Supported,2020/3/14,2020/3/14
96,"National Home Builders Registration
Council",Closed bid for employee wellness services,Not stated,"1,000,000.00",Non-responsive bid,Not supported,Not Stated,Not Stated
97,National School of Government,Delivery of Emerging and Advanced Management Development Programme,Higher Education Institute,"20,000,000.00",Closed bid,Supported,Date of approval,2023/03/31
98,National Student Financial Aid Scheme,Procurement of Call centre Agents,A1 Financial Services,"2,208,000.00",Quotation procurement method,Noting,Not Stated,Not Stated
99,National Student Financial Aid Scheme,Reporting: Open text software license maintanance renewal,Open Text (Pty) Ltd,"1,917,262.08",Sole supplier,Noting,Not Stated,Not Stated
100,National Treasury,Online journal platform,Sabinet Online LTD,"31,167.30",Single Source procurement method,Supported,2019/10/01,2020/10/31
101,National Treasury,Assistance with the development of the fiscal strategy,Mr Matthew Simmonds,"5 58,000.00",Single Source procurement method,Supported,2019/11/30,2020/02/29
102,National Treasury,Subscription and Website license fees,Moody's,"4,275,225.21",Sole supplier,Within AA mandate,2019/11/01,2022/10/31
103,NCR,Single source to appoint of Fumi and Mixo consulting,Fumi and Mixo Consulting,"1,750,087.50",Continuity of service,Conditional support,Not stated,Not stated
104,NCR,Single source to appoint of VZLR Attorney,VZLR Attorney,"1,000,000.00",Continuity of service,Conditional support,Not stated,Not stated
105,NHBRC,"Request to approach the Estate Agents Affairs Board , Public Investment Corporation and
Landlord of buildings in George, Nelspruit and Modimolle offices.",Not stated,0.00,Non-responsive bids,Conditional support,Not stated,Not stated
106,Office of the Valuer General,"To negotiate with the land-owner of Farm Jakkalsdan 243 JR and present in Court various
portions of Farm Jakkalsdan",A and Sons Property Group,4370 per hour,Continuity of service,Supported,Not Stated,Not Stated
107,Passenger Rail Agency of South Africa,"Appointment of Rail Suppliers to Supply, Deliver & Install Rails, Turnouts and Components
for the KZN Region.",Request for Quotation,"R 83,980,000.00",Urgency,Conditional support,Not Stated,Not Stated
108,Passenger Rail Agency of South Africa,Station Modernization Programme,"Molemo Consultants, Nkambule & Associates,
Iliso Consultants and Development Engineering",Not Stated,Continuity,Not supported,Not Stated,Not Stated
109,Passenger Rail Agency of South Africa,"Use the request for quotations (RFQ) process to procure mission critical spares in
infrastructure depots instead of bid competitive process.","Consultants
Not Stated","1 94,537,508.00",Prasa is unable to process competitive bids,Not supported,Not Stated,Not Stated
110,Passenger Rail Agency of South Africa,Upgrading the drainage and sinkhole mitigation works at and near Centurion station.,Tiro Civils,"2 4,140,880.12","It will take Tiro Civils less days to complete outstanding
work",Not supported,Not Stated,Not Stated
111,Passenger Rail Agency of South Africa,"Appointment of drivers accommodation, bus parking and light cleaning for busses",Not Stated,0.00,It is impractical to go out on tender,Not supported,Not Stated,Not Stated
112,Passenger Rail Agency of South Africa,Supply and deliver maintenance stock commodities and maintenance spares for scheduled,Various Suppliers,"2 25,000,000.00",Internal procurement process undergoing review.,Not supported,2019/11/01,2020/03/31
113,PIC,"maintenance of Rolling Stock nationally
Forensic Investigation Services",Not stated,0.00,Single source,Within AA mandate,Not stated,Not stated
114,PIC,Appointment of an Executive Search Agency,Closed Bid,0.00,Not stated,Supported,Not stated,Not stated
,Presidency,"Procurement of printers, projector, monitors and projector lamps",Not Stated,0.00,Compatibility of brands,Not supported,Not Stated,Not Stated
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Value of Contract,Reason for Deviation,"not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
116,Presidency,Microsoft for the upgrade to the latest version,Microsoft,"2 ,117,955.00",Cost Saving,Conditional support,Once-Off,Once-Off
117,Public Works,"Office accommodation in Thohoyandou ,UIF Building",PIC,"15,450,707.53",Nominated procedure,Not supported,Not Stated,Not Stated
118,Public Works,Maintenance of lifts,Otis,"3,400,000.00",Single source procurement method,Supported,2019/10/01,2021/09/30
119,Public Works,Infrastructure for the State visit of the Federal Republic of Nigeria,Not Stated,"2,000,000.00",Qotation procurement method,Conditional support,2019/10/03,2019/10/03
120,Public Works,Alternative Office accommodation Kuruman Statistics SA,Not Stated,"3,044,976.00",Nominated Procedure,Supported,Not Stated,Not Stated
121,Public Works,Alternative office accommodation in Alice for department of Home Affairs,Raymond Mhlaba Municipality,"576,048.98",Negotiated procedure,Supported,Not Stated,Not Stated
122,Public Works,Water infranstructure maintenance services,Overberg Water Board,"13,672,886.92",Sole procurement method,Noting,Not Stated,Not Stated
123,Public Works,"Maintenance and Servicing of buildings at Ramatlabama, Kopfontein and Derdepoort",Caledon River Properties/Magwa Construction,"3,951,963.50",Single Source procurement method,Supported,Not Stated,Not Stated
124,Public Works,Procurement of Lindela Repatriation Centre,"Ralph Farrel Lutchman & Cloete Murray and
Roynath Parbhoo & Lizette Opperman",Not stated,Negotiated procedure,Conditional support,2019/12/3,2019/12/3
125,Public Works,Training of staff on site maintenance of Sanae IV wastewater treatmnent plant,Virtual Consulting Engineers,"742,626.30",Single Source procurement method,Supported,Not Stated,Not Stated
126,Public Works,Training and onsite maintenance for the business manage system,Not Stated,Not stated,Quotation procurement method,Supported,Not Stated,Not Stated
127,Public Works,Office accommodation for the Department of Health Pretoria,Not Stated,"196,864,337.13",Shopping procedure,Not supported,Not Stated,Not Stated
128,Robben Island Museum,Facilitation of the strategy discussions with newly appointed council members,Eco Africa Consultants (Pty) Ltd,"50,000.00",Prefered supplier,Supported,Once off,Once off
129,Robben Island Museum,Upgrade of the HRM Sage 300,Sage,Not stated,Preferred supplier,Closed,Not Stated,Not Stated
