,Entity/ Department,Project Description,Supplier,Value of Contract,Reason for Deviation,"Award/ Recommended by
111,National Skills Fund,Attendance at the Smart Procurement World Indaba,Smart Procurement World,"20,068.65",Smart Procurement is hosting the Indaba,2018/09/11,Below threshold,2018/09/17,2018/09/20
112,"National Student Financial Aid
Scheme",To assist with network infrastructure,Senior Network Engineer,"496,800.00",Recruitment of the engineer is not finalised,2018/09/20,Supported,2018/10/01,2018/12/01
113,"National Student Financial Aid
Scheme",To assist with payrol deductions,"Old Mutual, Momentum,
Sanlam","1,500,000.00",Only suppliers that can provide the services to staff,2018/09/14,Supported,2018/10/01,2018/09/30
114,"National Student Financial Aid
Scheme",Provide and administer additional call centre services,EOH,"8,627,944.57",Increase in the calls received,2018/09/25,Not Supported,Not stated,Not stated
115,National Treasury,"Provision of public policy writing skills training for
economic policy unit for 2 days",Clarity Editorial,112 793.25,Appoint second highest bidder,2018/07/26,Not Supported,Once off,Once off
116,National Treasury,"Performing emergency repair to Sharepoint
Environment for the ICT division",Exponant,73 600.00,Emergency,2018/07/27,Supported,Once off,Once off
117,National Treasury,System intergration,N/A,N/A,Shorten bid advert,2018/08/06,Supported,From date of approval,14 days
118,National Treasury,"Provision of Eviews and Stata econometric software
packages",Quantec,574 330.70,Sole source,2018/08/20,Within AA/AO mandate,2018/06/18,2019/06/17
119,National Treasury,IFMS Forensic investigation,Nexus,382 320.00,Continuity of service,2018/08/30,Within AA/AO mandate,Once off,Once off
120,National Treasury,Editing of the CBDA annual report,Quo Vadis Communications,20 182.50,Single source,2018/08/30,Within AA/AO mandate,Once off,Once off
121,National Treasury,SWIFT bereau and data exchange services,Trustlink,988 948.97,Single source,2018/09/03,Not Supported,2018/04/01,2019/03/31
122,National Treasury,"Payment of the sovereign issuer pricing quarterly fee of
US$130 000.00",Moody's,Foreign Currency,Single source,2018/09/03,Not Supported,2018/01/01,2018/12/31
123,National Treasury,"Advertisement of a closed bid for SWIFT bureau
services",Not stated,Not stated,Closed bid,2018/09/19,Supported,From date of approval,12 months
124,"National Youth Development
Agency",Lease accommodation,Investec Property Fund Limited,"11,758,454.00",Additional Space required for additional staff,2018/07/25,Supported,2019/02/01,2024/01/31
125,NSG,Physical security services,Fidelity Security,664 123.47,Single source,30/08/2018,Supported,2018/09/01,2018/11/30
126,NSG,"Deviation to appoint a service provider for hosting a
conference through a closed bidding process",Not stated,Not stated,Closed bid,2018/08/30,Supported,Once off,Once off
127,Office of the Chief Justice,"Procurement of additional licenses for support,
maintenance, upgrade and training of the Marval
Services Desk System",Five (5) re-sellers,1 000 000.00,Single source,2018/08/28,Conditional Support,Once off,Not stated
128,OPSC,"Use of inhouse caterer for the procurement of catering
services",UNISA,Not stated,Single source,2018/09/14,Supported,From date of approval,2019/03/31
129,"Passenger Rail Agency of
South Africa",Procurement of Legal Resources,Not stated,Not stated,Urgent closed Bid,2018/09/29,Conditional Support,Not stated,Not stated
130,PetroSA,"Hiring of local taxi service during the October 2018
shutdown",Mossel Bay Taxi Association,"3,031,067.93","Tender is not feasible due to possible taxi violence if
a Provider outside Mosselbay is contracted",2018/07/06,Supported,Not Stated,Not Stated
131,PetroSA,"Hiring of local taxi service during the October 2018
shutdown","Uncedo Taxi Association-
Mossel Bay","3,221,979.86","Tender is not feasible due to possible taxi violence if
a Provider outside Mosselbay is contracted",2018/07/06,Supported,Not Stated,Not Stated
132,PetroSA,"Hiring of local taxi service during the October 2018
shutdown","Uncedo Taxi Association-
George","203,703.72","Tender is not feasible due to possible taxi violence if
a Provider outside Mosselbay is contracted",2018/07/06,Supported,Not Stated,Not Stated
133,PetroSA,"Hiring of local taxi service during the October 2018
shutdown",Coastline Taxi Association,"390,162.71","Tender is not feasible due to possible taxi violence if
a Provider outside Mosselbay is contracted",2018/07/06,Supported,Not Stated,Not Stated
134,"Planning, Monitoring and
Evaluation","Co-ordinate and synthesise technical reports for the NW
Intervention Programme",CSIR,"5,000,000.00","Time constraints and the sensitive nature of the
work",2018/07/05,Conditional Supported,Not Stated,2018/12/31
135,"Planning, Monitoring and
Evaluation",Forensic Investigation,Not Stated,"500,100.00",Urgency and sensitivity,2018/09/13,Supported,Not Stated,Not Stated
136,Public Service Commission,Promotion of Constitutional Values and Principles,SABC,500 000.00,Single source,2018/09/05,Supported,Once off,Once off
137,Public Works,"Provision of office accommodation-Mafatsane Thusong
Centre",Emfuleni Municipality,Not Stated,Negotiated procedure,2018/06/19,Supported,2018/08/01,2021/07/31
138,Public Works,Appointment of Mr Mokgoro,HoneyCloud Enterprises,"2,500,000.00",Expertise and former CFO,2018/06/25,Not Supported,Not stated,Not stated
139,Public Works,Provision of office accomodation - PSC,National Real Estate,"4,327,647.14",Negotiated procedure,2018/09/18,Not Supported,2018/10/01,2023/09/30
140,Public Works,"Replacement of hangar roof, IBR sheetings and fibre
glass sheets",Osolwazi Trading (Pty) Ltd,"1,660,741.76",Emergency procurement method,2018/01/10,Noted,Once off,Once off
141,Public Works,Provision of office accomodation-Home Affairs,"Provincial Department of Public
Works","2,730,361.69","Market research was conducted with municipalities
and provincial offices",2018/05/22,Supported,2018/09/01,2021/08/31
142,Public Works,"Replacement of blown off asbestos roof sheeting at
Merebank Military Base",Dsodubos Trading Enterprise,"1,012,360.52",Emergency procurement method,2018/07/31,Noted,Once off,Once off
143,Public Works,Renewal of PMIS software licenses,Equisystems,"1,952,075.55",Sole supplier,2018/08/08,Noted,2018/07/01,2020/06/30
144,Public Works,"Replacement of blown off asbestos roof sheeting at
Merebank Military Base",Sinohlase Investments,"1,186,604.61",Emergency procurement method,2018/07/31,Noted,Once Off,Once Off
145,Road Accident Fund,Ivant Software licenses with support and maintenance,"Blue Turtle Technologies and
Think Tank Software",0.00,"Only 2 approved and certified partners in South
Africa",2018/06/20,Not Supported,Not stated,3 years
146,Road Accident Fund,Attendance of annual awards,Hilton Hotel,"46,000.00",To support a nominated employee,2018/07/13,Supported,Once off,Not applicable
147,Road Accident Fund,Provision of office accommodation,Bestinverprop01,"43,278,570.00",Redefine Property sold building to Bestinverprop01,2018/05/14,Conditional Support,36 Months,Not stated
148,Road Accident Fund,Medical Experts,Various service providers,"1,008,042,586.00",Not enough responses through an open tender,2018/09/05,Conditional Support,36 months,not stated
149,Road Accident Fund,Cost consultant services,Mark Bowles,"82,984.00",Recommended by Adv. Naicker,2018/07/26,Pending,Once off,Not stated
150,Road Accident Fund,Cloud Lincenses,SAP ERP,Not stated,Existing contract with SAP,2018/08/08,Not Supported,Not stated,Not stated
151,"Road Traffic Management
Corporation",Provision of training facility,Denel,"69,501,618.00",No responsive bid received,2018/07/05,Not Supported,24 months,Not stated
152,"Road Traffic Management
Corporation",Oracle Support Services,Oracle,"12,444,543.67",OEM,2018/04/26,Conditional Support,24 months,Not stated
153,"Road Traffic Management
Corporation",Procurement of land,No service provider yet,Not stated,Open tender unsucessful,2018/05/08,Not Supported,Not stated,Not stated
154,"Road Traffic Management
Corporation",Provision of training facilities,Denel,"69,501,618.00",No responsive bid received,2018/07/05,Conditional Support,24 months,Not stated
155,"Road Traffic Management
Corporation",Maintenance services,Eaton Electric,"1,087,447.17",Continuity of service,2018/05/04,Noting,2018/04/01,2021/03/31
156,Robben Island Museum,Upgrade of the ERP system,Closed Bid,0.00,Procurement through Sage accredited suppliers,2018/05/05,Conditional Support,Not stated,Not stated
157,"Rural Development and Land
Reform","Implementation of the land size and efficiency
simulation research project.","Human Sciences Research
Council","13,583,240.00","HSRC has done Phase 1 and should conclude 2,3
and 4.",2018/07/19,Not Supported,Not Stated,Not Stated
158,"Rural Development and Land
Reform","Professional Services: Reconstruction Phase 3, District
Six, City of Cape Town",Delta BEC,"19,796,166.03",Continuity of service,2018/08/17,Not Supported,Not Stated,Not Stated
159,"Rural Development and Land
Reform","Completion of outstanding works for District Six
Reconstruction Phase 3, District Six, City of Cape
Town.",Not Stated,Not Stated,Original contractor was terminated,2018/08/27,Not Supported,Not Stated,Not Stated
160,"Rural Development and Land
Reform",Procurement of 300 parking bays,Advance on Point Solution,"5,397,949.21","Negotiations of a PPP project for a new Office
building are at a final close",2018/08/30,Supported,,
161,"Rural Development and Land
Reform","Request for co-funding service level agreement with
NWGA for assisting their members of smallholder
farmers in the Eastern Cape.","National Wool Growers
Association","12,041,992.26","The lambs ordered in 2016 for distribution among
rural farmers for the improvement of the quality
wool.",2018/08/23,Supported,Not Stated,Not Stated
162,"Rural Development and Land
Reform",Supply of uniform and protective clothing,Parktown,"140,907.50",Single source,2018/09/17,Not Supported,Not Stated,Not Stated
163,"Rural Development and Land
Reform",Provision of 1spatial group ltd software,1Spatial Group (Pty) Ltd,"1,060,558.00",Sole source,2018/09/04,Noted,2018/04/01,2021/03/31
164,"Rural Development and Land
Reform",Procurement of exhibition space,SAPI,"500,000.00",Covener of the conference,2018/09/19,Supported,2018/10/14,2018/10/18
165,"Safety and Security Education
and Training Authority",Provision of seta management system,Deloitte and Touche,"5,537,183.20",Expiry of SETA licence in 2020,2018/08/22,Not Supported,2018/06/01,2020/03/31
166,"Safety and Security Education
and Training Authority",Provision of internet and telecommunication services,Neotel,"930,000.00","It is not economical to appoint another service
provider",2018/08/22,Not Supported,2018/06/01,2019/03/31
167,SARS,Group life insurance,Sanlam,Not stated,Single source,2018/07/09,Conditional Support,2018/08/01,2019/07/31
168,SARS,Transfer pricing catalyst software license,"Bureau van Dijk, Electroniq
Publishing SA",1 327 746.12,Single source,2018/05/31,Conditional Support,2018/06/01,2019/05/31
169,SARS,"Electrical and fire engineering drawings at SARS New
Pier State Warehouse in Durban",Selanya Consulting Engineers,687 447.00,Continuity of service,2019/09/18,Not Supported,From date of approval,Once off
170,Sentech,Advisor on mergers and acquisitions process,None,0.00,Negotiated procedure,2018/07/27,Supported,From date of approval,Once off
171,SITA,Training of SCM officials,CIPS,4 928 100.00,Single source,2018/08/10,Not Supported,From date of approval,Once off
172,SITA,Provision of an interim EAP Wellness Service,Momentum,219 630.00,Single source,2018/08/15,Within AA/AO mandate,From date of approval,3 months
173,"Small Enterprise Development
Agency",Provision of office accommodation-Durban Westville,"The Suresh Mohanlal Valjee
Family Trust",4 489 509.00,Request for Quotation method,2018/07/23,Supported,2018/09/1,2023/08/31
174,"Small Enterprise Development
Agency",Procurement of exhibition stand,Reed Exhibition (Pty) Ltd,"1,795,893.92",Reed Exhibition are the organisers of the event,2018/08/06,Noted,2018/08/08,2018/08/12
175,"Small Enterprise Development
Agency","Provision of office accomodation, Bellville",New Property Ventures,"3,698,092.32",Request for Quotation method,2018/08/08,Supported,2018/09/01,2021/08/31
176,"Small Enterprise Development
Agency",Provision of office accomodation - Stellenbosch,Eikestad Joint Venture,"5,114,535.59",Request for Quotation method,2018/08/22,Supported,2018/11/01,2022/10/31,
177,"Small Enterprise Development
Agency",Provision of office accomodation - Welkom,Matjhabeng Local Municipality,"855,619.92",It is more cost effective,2018/08/30,Supported,2018/10/01,2021/09/30,
178,"South African Civil Aviation
Authority",Training of Cadets,Various service providers,0.00,To allow Cadets to complete their training,2018/06/25,Conditional Support,12 months,Not stated,
179,"South African Diamond and
Precious Metals Regulator",Provision of office accomodation,"Gauteng Industrial
Development Zone (GIDZ)","30,312,000.00",Stimulating economic growth,2018/08/03,Not Supported,2018/10/01,2028/09/30,
180,"South African National Energy
Development Institute","Development of 3D CCS models for awareness more
importantly in schools, communitties and the general
public.","Black Ice Advanced Digital
Solutions","95,000.00","No suitable service provider was found in the
market",2018/06/26,Not Supported,Not Stated,Not Stated,
181,"South African National Energy
Development Institute","Provision of storage and security services at Lucingweni
Village Project.",Konjwayo cc,"84,000.00","It will cost more to procure the services from
another service provider.",2018/08/08,Not Supported,2018/04/02,2019/03/30,
182,South African National Parks,To conduct forensic investigation,Nexia SAB & T,"1,360,460.00",Continuity of service,2018/09/17,Not Supported,Not stated,Not stated,
183,"South African National Roads
Agency Limited",Attendance of a seminar,"Southern African Institute for
Business Accountants","1,900.00",Specialist service provider,2018/08/17,Within AA/AO mandate Noting,Once off,Not stated,
184,"South African National Roads
Agency Limited",Legal Advisors,Werkmans Inc,"150,000.00",Continuity of service,2018/06/20,Conditional Support,3 months,Not stated,
185,"South African National Space
Agency",Geomagnetic observations,J Jacob,"40,000.00",Sole source,2018/08/19,Noted,Not Stated,Not Stated,
186,South African Police Service,Procurement of 8 BMW,BMW SA,"3,600,000.00",Urgent procurement method,2018/07/26,Conditional Support,Once off,Once off,
187,South African Police Service,"Provision of accommodation, meals and conference
facilities",Saint George Hotel,"3,157,266.00",Urgency procurement method,2018/07/12,Not Supported,2018/06/25,2018/06/30,
188,South African Police Service,Installation of Blue Lights and Sirens,"Intense Protection and Tourist
Service","9,793,990.00",Request for Quotation method,2018/07/12,Not Supported,Not stated,Not stated,
189,"South African Post Office
Limited",Advanced support,Oracle South Africa,"506,000.00",Continuity of service,2018/07/06,Conditional Support,2018/08/01,2019/01/31,
190,"South African Post Office
Limited",2538 Fingerprint devices,Bytes Technology,"13,256,518.30",Expansion due to the card swop programme,2018/07/09,Conditional Support,2018/07/11,2018/09/30,
191,"South African Post Office
Limited","Hosting of the SASSA/SAPO integrated grant payment
system and biometric engine",Telkom SA,"2,400,000.00",Emergency procurement method,2018/07/06,Conditional Support,2018/07/10,2019/01/09,
192,"South African Post Office
Limited",Installation of additional network link to Bankserv,Bankserv Africa,"120,000.00",Emergency procurement method,2018/07/06,Conditional Support,2018/07/10,2018/10/09,
193,"South African Post Office
Limited",Procurement of the business identifier code,Closed Bid,"129,444.00",Procurement through Swift accredited suppliers,2018/07/23,Supported,2018/08/01,2021/07/31,
194,"South African Post Office
Limited",Cash in transit services,Closed bid,0.00,Urgent procurement method,2018/08/07,Supported,2018/09/01,2019/02/28,
195,"South African Post Office
Limited",Procurement of cash payment biopay module,FSS Technology,0.00,Urgent procurement method,2018/08/28,Not Supported,Not Stated,Not Stated,
196,"South African Social Security
Agency",Provision of office Accommodation at Venterdorp,Merrs BHY Investment (Pty) Ltd,179 566.00,Continuity of service,2017/12/15,Conditional Support,2018/02/01,2018/04/30,
197,"South African Social Security
Agency","Provision of office accommodation - Victoria West local
office",Mr Calvin Vlok,"234,645.00",Continuity of service,2018/07/31,Not Supported,2018/08/01,2021/07/31,
198,"South African Social Security
Agency","Provision of office accomoodation - Kuruman District
office",Atgmar Beleggings,"1,055,034.60",Continuity of service,2018/07/31,Not Supported,2018/08/01,2020/07/31,
199,"South African Social Security
Agency","Procurement of goods and services for SASSA
Integrated Community Outreach Programme (ICROP)
Events across the country",Not stated,10 000 000.00,Court litigation,2018/09/17,Conditional Support,Once off,Not stated,
200,"South African Social Security
Agency","The construction of office in Danielskuil in ZF Mgcwawu
district with the construction of an office in Balthoros",IDT,4 550 177.26,Continuity of service,2018/08/17,Supported,Once off,Not stated,
201,"South African Social Security
Agency",Provision of office accommodation - Walvis Bay,J & B Estate,235 450.52,Continuity of service,2018/09/05,Supported,2018/10/01,2019/03/31,
202,"South African Social Security
Agency",Transportation of social grants beneficiaries,Various service providers,Not stated,Preferred suppliers,2018/08/30,Supported,Not stated,3 months,
203,South African Tourism,To host the News UK travel awards,Bakabung Bush Lodge,546 273.50,Clients specific hosting requirements,2018/07/12,Supported,2018/09/19,2018/09/21,
204,South African Tourism,To host the News UK travel awards,Four seasons Westcliff,1 058 400.00,Clients specific hosting requirements,2018/07/12,Supported,2018/09/19,2018/09/21,
205,South African Tourism,Provision of Legal Services,Norton Rose,0.00,Continuity of service,2018/06/22,Not Supported,Not Stated,Not Stated,
206,South African Tourism,Provision of Legal Services,Cliffe Dekker Hofmery,0.00,Continuity of service,2018/06/22,Not Supported,Not Stated,Not Stated,
207,South African Tourism,Provision of business premises,Real Estate Agent,0.00,Request for Quotation method,2018/9/17,Supported,Not stated,Not stated,
208,South African Tourism,Brazils database for marketing agencies,Closed tender,0.00,"Brazil is not conducive for an open bid process due
to restrictions",2018/08/02,Supported,2019/04/01,2022/03/31,
209,South African Tourism,"Partnering with the supplier on the upcoming episode of
Tapping In",Swain Entertainment,US$ 25 000.00,Target audience and reach,2018/03/05,Supported,2018/09/01,2018/12/31,
210,South African Weather Service,"Delivery of six advanced total ligtning sensor upgrade
kits",Vaisala OYJ,"3,000,000.00",Procurement through sole supplier,2018/08/21,Noted,Once Off,Once Off,
211,State Diamond Trader,Provision of office Accomodation,"Gauteng Industrial
Development Zone (GIDZ)",0.00,Stimulating economic growth,2018/08/20,Not Supported,2018/10/01,2028/09/30,
212,Stats SA,"Request to source physical security service through
RFQ",N/A,N/A,"Inability of currently service provider to honor
security contract",2018/08/24,Supported,2018/09/01,5 months,
213,Stats SA,"Acquisition and delivery of the SPOT 6/7 imagery (2017
and 2018)",SANSA,19 800 000.00,Sole source,2018/08/01,Within AA/AO mandate,Once off,Once off,
214,The South African State Theatre,To redesign identified areas in the organisation,Blaque Pearl Lifestyle,"1,009,991.00",The supplier provided the Pan African design,2018/08/14,Not Supported,2018/09/01,2021/08/31,
215,Trade and Industry,Tisa Trade and Invetment Seminar venue,New york Barclays,"1,889,562.00",single source,2018/09/18,Conditional support,Not stated,2018/09/24,
216,Trans-Caledon Tunnel Authority,"Represent TCTA in the high court: Mooi-Mgeni Transfer
Scheme Phase 2 (MMTS-2 Project)","Yashica Chetty Attorneys and
Conveyancers","1,200,000.00",Continuity of service,2018/08/16,Closed,Not Stated,Not Stated,
217,Trans-Caledon Tunnel Authority,"Support for finance and procurement modules with
Oracles accredited partners",Not Stated,Not Stated,competitive bidding in progress,2018/09/11,Conditional Supported,Not Stated,Not Stated,
218,Transnet,"Manufactruing of 125 Rotary Dump Mineral Wagons By
Transnet Engineering For the Compagnie Des Bauxities
De Guinee (CBG)",Various suppliers,Not stated,"from prescribing any localization as there are no
local company to supply wagons",2018/07/11,Not Supported,Not stated,Not stated,
219,Transnet,Transactional Arranger,JP Morgan,2.4 billion,Preferred suppliers,2018/07/02,Not Supported,Not stated,5.5 years,
220,Transnet,"professional, training, engineering services and upgrade
of Navis Terminal operating system from version 2.6 to
3.6",Navis LCC,"7,903,476.00",Intellectual Property,2018/09/13,Not Supported,Not stated,2019/05/01
221,Transnet,Nqgura Manganese Export Terminal,Not stated,Not stated,Impractical for open bid,2018/09/05,Conditional support,Not stated,Not stated
222,Water and Sanitation,"Printing of Strategic and annual perfomance plans and
annual reports for 3 years",Government Printing Works,"1,575,000.00",Single Sourcing,2018/08/29,Supported,Not Stated,Not Stated
