5.5.2 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 1 REPORT EXPANSIONS,,,,,,,,,,,,,,,
EXPANSIONS REPORT,,,,,,,,,,,,,,,
"Numbe
r",Period / Quarter,"Rollover / New
(Use dropdown
List)","Date Received By
GMC (yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
(Use dropdown List)","Value of Contract
Expansion","Original Contract
Value","Value of Pevious
Expansion","not supported/not
supported/Conditional
supported","Award/recommended
by AO/ AA date
(yyyy/mm/dd)","Contract start
date
(yyyy/mm/dd)","Contract
expiry
(yyyy/mm/dd)",
,Q1 2023/24,New,2023/4/11,Justice and Constitutional Development,"Rendering of Guarding and Specialised Services in
various offices of the Department of Justice and
Constitutional Development, National Prosecution
Authority and Office of Chief Justice","1. Mabotwane Security Services
2. Fidelity Seurity Services
3. Phepha MV Security
4. Vhugi Protection Services
5. Zack Business Enterprise","Business continuity to allows for the finalisation of the
replacement procurement process.","R68,036,036.49","R749,586,384.22","R835,504,456.86",Noting,2023/03/28,2023/04/01,2023/04/30,
,"Q1 2023/24
Q1 2023/24","New
New","2023/4/4
2023/4/26","Public Protector South Africa
Special Investigation Unit","Procision of cleaning services for varios offices
namely : Mafikeng, Kimberley, Bloemfontein and
Rustenburg
Quantity Surveyor","M Jnr Consulting
Manzi quantity surveyor cc","The tender for appointment of service provider for
provision of cleaning services could not be finalised on
time due to none availability of some of BEC members
and conducting of due diligence which was part of the
evaluation process
Additional communiction services and equiment","R61 604.96
R52,800.00","R2 885 425.00
R352,000.00","Not Stated
Not Stated","Noting
Noting","2023/02/28
2023/03/31","2020/03/01
2023/04/01","2023/03/31
2023/04/30",
,"Q1 2023/24
Q1 2022/23","New
New","2023/4/26
2023/5/15","Special Investigation Unit
Armaments Corporation of South Africa Limited","Office Accommodation
Vehicle and machinery servicing and maintenance","Edge Bay Investment (PTY) LTD
Corline 162 cc","Due to the new building tenant Installations process.
Increase the order value to accommodate additional
operational repairs on machinery and vehicles","R530,866.54
R130 425.00","R4,094,004.60
R669 500.00","R2,117,100.00
R21 602 160.00","Noting
Noting","2022/10/31
2023/05/12","2022/11/01
2022/07/22","2023/04/30
2023/07/22",
,"Q1 2022/23
Q1 2022/23","New
New","2023/5/15
2023/5/15","Armaments Corporation of South Africa Limited
Armaments Corporation of South Africa Limited","Purchasing of meat frozen food products
Provisioning of C Band Circular Polarised Space
Satellite Segment (Bandwidth)","Prieska Slagtery Pty Ltd
Terrace Projects","New contract not in place
Order had to be extended by 9 months as they are still
finalising the new equipment","R131 014.43
R3 329 100.00","R873 429.56
R3 329 100.00","N/A
R591 840.00","Noting
Noting","2023/05/12
2023/05/12","2022/04/01
2023/05/01","N/A
2024/02/28",
,"Q1 2023/24
Q1 2023/24","New
New","2023/4/12
2023/4/12","Denel SOC Ltd
Eskom Holdings SOC Ltd","SQ2000 Mid-Life Upgrade
The provision of security guarding services: 24/7
unarmed physical/ static guarding, adhoc security
related services, K-9 services, crime prevention
patrols and armed response for Distribution
Limpopo Operating Unit","Xpitec
Securelife Security Services
Ensemble Security Trading 2366","Not stated
Modification 3 extension of time and add value. New
contract not yet in place.","R2 609 637.50
R28 176 984.00","R15 091 453.10
R117 619 087.76","R11 676 972.80
R75 700 347.68","Noting
Noting","2023/03/16
2023/04/06","2023/03/16
2021/03/01","31/12/2023
202307/31",
,Q1 2023/24,New,2023/4/12,Eskom Holdings SOC Ltd,"Provision of core technical services (Electrical
building maintenance services) to Eskom real
estate for Eskom Park zone – Mpumalanga
operating unit for a period of 36 months",Sakha Isizwe Engineering,"The modification for Mbombela will be to transfer the
remaining funds from the current contract number
4600068279 to Eskom Park contract number
4600068204 and to increase funds as
R477
follows:Emalahleni Zone Modification Value
540,00 and Mbombela Zone R747 640,98. Total
modification value is R1 225 180,98. The
modification for additional value is due to a
contractor that has been suspended.",R1 225 180.98,"R3 979 500,00",N/A,Noting,2023/04/26,2020/10/26,2023/10/25,
,Q1 2023/24,New,2023/4/12,Eskom Holdings SOC Ltd,"Design, supply, delivery, installation,
commissioning, support and training for the
upgrade of the Network Management Centre (NMC)
Data Centre for a period of three (3) years.","Reutech Solutions, a Division of Reutech (Pty) Ltd","To increase the contract value, to increase the
contract period by thirty-six (36) months from thirty-six
(36) months to seventy-two (72) months; to increase in
scope of work on the existing two sites; and to add a
new additional site and additional item which were not
part of the original contract approval.",R15 828 316.41,R24 550 404.35,N/A,Noting,2023/05/03,2021/09/01,2027/08/31,
,Q1 2023/24,New,2023/4/12,Eskom Holdings SOC Ltd,"The design, manufacture, testing, supply and
installation of Air Core Reactor at Gromis
Substation.",Afritek Pty (Ltd),"To increase the contract value by R171 710.69 from
R1 252 073.08 to R1 423 783.77 excluding Value
Added Tax (VAT) and contingency.To increase the
contract period by Three (3) Months from 30 April
2023 to 31 July 2023.",R171 710.69,R1 252 073.08,N/A,Noting,2022/02/03,2022/03/01,2023/07/31,
,Q1 2023/24,New,2023/4/12,Eskom Holdings SOC Ltd,"The construction of section C (91 km) of the
282KM 400kV line from Juno substation to Gromis
substation",Siyavuya Umso JV,"To modify contract period by four (04) months from 11
May 2023 to 08 September 2023.To increase contract
value by R25 011 037.00 excluding VAT","R25 011 037,00",R274 759 920.89,N/A,Noting,2020/10/26,2021/01/11,2023/09/08,
,Q1 2023/24,New,2023/4/12,Eskom Holdings SOC Ltd,"For the the Manufacture, testing, training, and
supply of pole/conductor mounted Fault Path
Indicators on an as and when required basis","ADC Energy cc (Reg No 2005/085952/23 and CSD
No MAAA0239844)","To cater for the outstanding CPA amounts, the
supplier has not claimed for CPA",None,R97 000 548.45,R2 986 700.00,Noting,2023/05/10,2016/09/23,2023/09/30,
,Q1 2023/24,New,2023/4/12,Eskom Holdings SOC Ltd,"For the provision of Tactical and Specialised
security services within Eskom NWOU",Bidvest Protea Coin,"Eskom require this services going forward. Since the
contract was put into place, the incidents related to
Zama-zama syndicates dropped significantly or totally
stopped on Eskom sites whilst their criminal activities
continued on other sites belonging to mines,
municipalities even hospitals. Eskom will continue to
need the Tactical and specialized security services in
order to mitigate against the threat of illegal miners as
we can’t deploy normal security in these high risk
areas.","R6 042 998,94",R36 101 928.00,R42 144 926.94,Noting,2023/05/11,2020/05/26,2023/05/25,
,"Q1 2023/24
Q1 2023/24","New
New","2023/4/12
2023/5/18","Eskom Holdings SOC Ltd
South African Forestry Company SOC Limited
(SAFCOL)","Provision of Actuarial Services
Provision of Actuarial Services","Ernst and Young Advisory Services (Pty) Ltd
MyBoet Trading Cc","Modification
Business continuity while awaiting tender process to
be finalised","R5 940 000.00
R270 508.00","R9 500 000.00
R5 801 175.00","N/A
N/A","Noting
Noting","2023/05/12
2023/05/12","2021/11/15
2023/05/12","2024/11/04
2023/07/23",
,Q1 2023/24,New,2023/5/18,"South African Forestry Company SOC Limited
(SAFCOL)",Treasury Management System,4D Treasury Services (Pty) Ltd,"The extension will ensure that treasury department has
access and historical information available and
maintained.",R614 464.83,R585 204.60,N/A,Noting,2023/03/15,2023/04/01,2024/03/31,
,Q1 2023/24,New,2023/5/18,"South African Forestry Company SOC Limited
(SAFCOL)","Supply Stihl MS 462 chainsaws with 16” Guide
bars",Kome Designs and Engineering (Pty) Ltd,Unforeseen price escalation on the items.,R36 459.88,R373 076.68,N/A,Noting,2023/05/23,N/A,N/A,
,"Q1 2023/24
Q1 2023/24","New
New","2023/6/1
2023/6/15","Public Enterprises
Eskom Holdings SOC Ltd","Technical Advisory Services
Supply and delivery of Groceries to Medupi Power
Station for a period of 3 years.","GTAC
Letsepe Foods (Pty) Ltd","Business continuity
The contract value was understated as it was meant to
cater only for Generation staff, but it was later
suggested by Group Managers that visitors, ERI staff
and another Engineering Contractors who are onsite
to work on the Plant and Unit 4 defects must also be
catered for.","R6 994 828.58
R2 777 588.10","R5 799 864.00
R1 929 414.10","N/A
R0.00","Noting
Noting","2023/06/01
2023/05/09","Not stated
2021/12/01","2025/03/41
2024/01/31",
,Q1 2023/24,New,2023/6/15,Eskom Holdings SOC Ltd,Provision of industrial services at Komati P/S,ST Business (Pty) Ltd,"Contract modified to promote a safe working
environment for employees and contractors, thus
fulfiling conformance and compliance and other
obligation to which Eskom subscribe and sets to meet
the intent of SHEQ policy.",R1 801 133.80,R9 690 104.00,R0.00,Noting,2023/04/25,2021/01/01,2023/06/30,
,Q1 2023/24,New,2023/6/15,Eskom Holdings SOC Ltd,"Provision of Industrial Rope Access Maintenance
Services - Medupi PS",Battalions at Heights,"The reason for this modification is that the
procurement process of placing a new contract is not
yet completed. We had delays from compiling the
SOW, Technical Criteria, and Contract Strategy, due
to input of other stakeholder involved with the
developments of those documents, but finally managed
to complete them. The Scope remain unchanged as
stated in the previous modification.
The contract strategy is in circulation for signature.",R3 554 560.00,R12 166 080.00,R9 259 560.00,Noting,2023/05/10,2018/05/15,2023/09/14,
,Q1 2023/24,New,2023/6/15,Eskom Holdings SOC Ltd,"Aerial Surveillance and response and Tutuka
Power Station",Advanced Aerial (Pty) Ltd,"As per the 3-year contract, Advanced Aerial is
providing Aerial Drone surveillance for Tutuka’s Coal
and Ash conveyor belts along with the operational
infrastructure, such as the ash stacker, spreader, etc.
This consists of 1 drone team during the day with
armed response, and 1 drone team with ARU during
the night. The drone component is then supported by
an Armed Response Unit which will respond to any
suspicious movement picked. Both the drone
component with the armed Response unit is connected
by propriety technology provided by Advanced Aerial
(Pty) ltd Drone Ops JV called Connected Teams.
Connected teams enable the operational team a
platform to collaborate and coordinate better.",R11 858 371.00,R25 795 616.40,R0.00,Noting,2023/05/15,2022/06/27,2025/06/26,
,Q1 2023/24,New,2023/6/15,Eskom Holdings SOC Ltd,"Provision of Efficient plant cleaning on the Auxiliary
Plant at Tutuka Power Station",Javasaxo (Pty) Ltd,"The Current Auxiliary areas cleaning contract is
approaching it’s end date and more time is required to
place a long term contract. Current Service manager
has more than 5 long term contracts that are varying in
stages of placement and is overwhelmed with that task.",R3 412 953.00,R3 509 203.00,R0.00,Noting,2023/05/17,2022/11/08,2023/11/07,
,Q1 2023/24,New,2023/6/15,Eskom Holdings SOC Ltd,"Bus transportation of Eskom Duvha Power Station
employees on a daily basis to and from Duvha
Power Station for the various areas for a period of
36 months (Witbank and extensions, this includes
general worker, shift workers and the unscheduled
trips",Mphakathi Tours CC,"The contract document for the new contract was
signed by both parties on 11 May 2023, however it
was realized that for the service provider to commence
with the service at Duvha Power Station, they are
required to submit the criminal clearance report for all
the personnel who will be involved in the new contract.
Furthermore, the Project Manager will be required to
ensure that all the busses which will be providing the
service on the new contract are compliant prior to the
commencement of the contract.",R2 392 476.00,R42 904 008.00,R11 302 613.54,Noting,2023/05/12,2019/08/13,2023/07/12,
,Q1 2023/24,New,2023/6/15,Eskom Holdings SOC Ltd,"Bus transportation of Eskom Duvha Power Station
employees on a daily basis to and from Duvha
Power Station for the various areas for a period of
36 months (Middelburg and extensions, this
includes general worker, shift workers and the
unscheduled trips",Mphakathi Tours CC,"The contract document for the new contract was
signed by both parties on 11 May 2023, however it
was realized that for the service provider to commence
with the service at Duvha Power Station, they are
required to submit the criminal clearance report for all
the personnel who will be involved in the new contract.
Furthermore, the Project Manager will be required to
ensure that all the busses which will be providing the
service on the new contract are compliant prior to the
commencement of the contract.",R470 024.00,R8 460 540.00,R1 880 528.00,Noting,2023/05/12,2019/09/13,2023/07/12,
,Q1 2023/24,New,2023/6/15,Eskom Holdings SOC Ltd,"The manufacture, supply and delivery of grinding
elements and grinding media for 15 (fifteen) Coal
fired Power Stations",Mitak,"The need for additional funds is due to the projection
undertaking by the appointed Contract Manager
together with the End-users that shows the value
available will not be sufficient to cover the business
needs until 31 July 2023. It is proposed that the
existing contract be modified with additional funds
amounting to R340 548 904.70 to
ensure uninterrupted supply of grinding media and
grinding elements components to various Generation
Power Stations until the new national contract kicks in
with effect
from 01 August 2023.",R100 000 000.00,R531 105 700.97,R0.00,Noting,2023/03/01,2016/08/01,2023/07/31,
,Q1 2023/24,New,2023/6/15,Eskom Holdings SOC Ltd,"The manufacture, supply and delivery of grinding
elements and grinding media for 15 (fifteen) Coal
fired Power Stations",Thomas Foundry (MAAA0268481),"The need for additional funds is due to the projection
undertaking by the appointed Contract Manager
together with the End-users that shows the value
available will not be sufficient to cover the business
needs until 31 July 2023. It is proposed that the
existing contract be modified with additional funds
amounting to R340 548 904.70 to
ensure uninterrupted supply of grinding media and
grinding elements components to various Generation
Power Stations until the new national contract kicks in
with effect
from 01 August 2023.",R90 548 904.70,R73 000 000.00,R0.00,Noting,2023/03/01,2020/02/06,2023/07/31,
,Q1 2023/24,New,2023/6/15,Eskom Holdings SOC Ltd,"The manufacture, supply and delivery of grinding
elements and grinding media for 15 (fifteen) Coal
fired Power Stations",Ninngou Kaiyaun Electric Power,"The need for additional funds is due to the projection
undertaking by the appointed Contract Manager
together with the End-users that shows the value
available will not be sufficient to cover the business
needs until 31 July 2023. It is proposed that the
existing contract be modified with additional funds
amounting to R340 548 904.70 to
ensure uninterrupted supply of grinding media and
grinding elements components to various Generation
Power Stations until the new national contract kicks in
with effect
from 01 August 2023.",12 864 494 USD,30 017 152.65 USD,R0.00,Noting,2023/03/01,2016/12/08,2023/07/31,
,Q1 2023/24,New,2023/6/15,Eskom Holdings SOC Ltd,"Provision of Cleaning Services to Acacia Power
Station",Metro Cleaning Services CC,"Adjust total contract value to include CPA which had
been paid agains the SAP contract instead of outside
of the contract in order to replenish funds",R163 687.65,R250 000.00,R498 517.15,Noting,2023/05/19,2013/10/01,2023/09/30,
,Q1 2023/24,New,2023/6/15,Eskom Holdings SOC Ltd,Provision of Cleaning Services to Palmiet P/S,Metro Cleaning Services CC,"Adjust total contract value to include CPA which had
been paid agains the SAP contract instead of outside
of the contract in order to replenish funds",R786 751.40,R250 000.00,R1 531 838.28,Noting,2023/05/19,2013/10/01,2023/09/30,
,Q1 2023/24,New,2023/6/15,Eskom Holdings SOC Ltd,"Provision of Cleaning Services Ankerlig P/S and
Durbanville Admin Offices",Metro Cleaning Services CC,"Adjust total contract value to include CPA which had
been paid agains the SAP contract instead of outside
of the contract in order to replenish funds",R822 159.14,R250 000.00,R8 750 600.50,Noting,2023/05/19,2013/10/01,2023/09/30,
,Q1 2023/24,New,2023/6/15,Eskom Holdings SOC Ltd,Asbestos removal for Pkg gx,Enviro-Tech SA,"This modification is required due to the change in
minimum disposal weights at the waste disposal sites
from 250KG to 1Ton.. Additional hours are required
for the resources during emergencies where Asbestos
is identified during outages. 3. Additional PPE
(Personal Protective Equipment) that comply with
Asbestos requirements",R2 241 925.00,R5 857 176.72,R0.00,Noting,2023/05/17,2023/02/07,2028/01/31,
,Q1 2023/24,New,2023/6/15,Eskom Holdings SOC Ltd,Approved inspection authority for Pkg Gx,Aspirata Auditing Testings and Certification P/L,"Make provision for asbestos mointoring during outages
and for accommodation when travelling to sites more
than 200 km away.",R3 457 611.82,R6 380 726.60,R0.00,Noting,2023/05/17,2023/02/07,2028/01/31,
,Q1 2023/24,New,2023/6/15,Eskom Holdings SOC Ltd,"Supply and Delivery of Semi bulk and Bulk
Chemicals - Medupi PS",MAANO CHEMICALS,"Modification 1 is for an increase in contract value of R
9 403 426.69 which amounts to a new contract value
of R 45 550 318.09 excluding Value Added Tax (VAT)
and Contingency), only and does not entail a change
of the original scope of work or a change of quantities
which remains the same as per the original approval
obtained.",R9 403 426.69,R36 146 891.40,R0.00,Noting,2018/05/10,2023/05/20,2024/05/20,
,Q1 2023/24,New,2023/6/15,Eskom Holdings SOC Ltd,"The provision of a secretary to support the finance,
procurement and support services department -
Camden PS",Harambee General Services (Pty) Ltd,"The third-party contract for a secretary was brought
into place to service the Finance, Procurement and
Support Services departments with admin duties, since
none of the departments had dedicated admin
personnel.",R100 780.80,R201 557.00,R0.00,Noting,2023/05/22,2022/06/01,2023/11/30,
,Q1 2023/24,New,2023/6/15,Eskom Holdings SOC Ltd,"The maintenance of Arnot Power Station coal
stockyard conveyor plant for a period of one (1)
year",Maduka Resources CC,"The current contact was modified for a period of 4
months and its ending 31 May 2023. The renewal of
the contract has been delayed due to change of
departments and handover process. The new contract
will not be in place on time and this will result in Arnot
Coal Stock Yard operating without a maintenance
contract which is a great risk to the Power Station.
This modification will ensure that whilst a new contract
is being worked on, there is still maintenance taking
place.",R5 332 435.02,R17 935 148.18,R6 547 676.21,Noting,2022/02/01,2022/02/01,2023/08/31,
,Q1 2023/24,New,2023/6/15,Eskom Holdings SOC Ltd,"Modification for Dust and noise monitoring services
- Kusile PS",Gijima Holdings (Pty) Ltd,"Dust Fallout and Noise Monitoring services are an
essential part of Kusile Power Station water use
licences conditions. Kusile Power Station cannot
afford continuous complaints and allegation of non-
compliance with conditions of Environmental
Authorisation and Atmospheric Emission Licence.
The additional costs are requested to cater for
sampling buckets preparation with de-ionised water
and biocide, supply of filters and filtration of exposed
samples, gravimetric determination of dust fall
including laboratory analysis, monthly filtrations
including insoluble gravimetric analysis. Kusile
Environmental Department would like to add additional
funds to the contract to cover the costs for the
remaining three months of this contract according to
the cost breakdown below. There is no request to the
extension of the contract duration with the current
service provider.",R527 258.32,R2 297 591.11,R0.00,Noting,2020/10/28,2020/10/28,2023/11/30,
,Q1 2023/24,New,2023/6/15,Eskom Holdings SOC Ltd,"Provide Services on the Fuel Handling Software
(PMC) maintenance at Koeberg Operating Unit",Westinghouse Electric Belgium S.A,"Westinghouse is the OEM for the Polar Crane (DMR)
at Koeberg Nuclear Power Station and we have
approved a sole source for this scope on plant. The
same resources are needed for the PMC and DMR
during outage activities, hence we require to include
its scope in the contract. We will be able to manage
the finance and resources more effectively and
efficiently.","611 095.00 (USD)
R 10 566 433.65","2 103 490.00 (USD)
R 36 371 445.59",R0.00,Noting,2021/12/09,2022/01/14,2027/01/13,
,Q1 2023/24,New,2023/6/15,Eskom Holdings SOC Ltd,"The provision of supplementary personnel to
support the preparation and execution of outages
and outage related maintenance activities over a
period of three (3) years on an as and when
required basis at Koeberg Nuclear Power Station",Mobitrain (Pty) Ltd,"Additional value and time required for completion of
Outage. Outage 126 saw a shift from previous outage
spend trends. The SGR project (including Daughter
Modifications) saw an increase in demand for
supplemental resources. This was not anticipated as
the SGR project was said to be funded for additional
resourcing requirements. As a result, the task order
count jumped from a previous Outage trend of 36 in
number to a requirement of 48 in number for Outage
126. This translated to additional spend with a
reduced timeframe in order to fulfil all support
requirements. (Current 48 in number task orders will
end by 30 April / 31 May 2023 due to insufficient
funds being available) The Outage duration is now
further being challenged by the current SGR delays,
the impact yet to be quantified (Current assumptions
indicate a 47 day delay deficit). The current strategy
therefore is to request additional funding to service the
current 48 in number task orders for the duration of
the contract period.",R7 163 841.46,R12 411 092.05,R8 130 912.55,Noting,2019/07/19,2019/08/14,2023/09/13,
