5.5.2 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 1 REPORT EXPANSIONS,,,,,,,,,,,,,,,
"Q1 2023/24
Q1 2023/24
Q1 2023/24
Q1 2023/24
Q1 2023/24
Q1 2023/24
Q1 2023/24
Q1 2023/24","New
New
New
New
New
New
New
New","2023/6/14
2023/6/15
2023/6/15
2023/6/15
2023/6/15
2023/6/15
2023/6/15
2023/6/15","State Information Technology Agency
Financial Sector Conduct Authority
Financial Sector Conduct Authority
Financial Sector Conduct Authority
Financial Sector Conduct Authority
Financial Sector Conduct Authority
Financial Sector Conduct Authority
Financial Sector Conduct Authority","Contract extension of RFB 1990-2019 for Physical
Security guarding contract for SITA Gauteng
offices on a month to month basis, not exceeding 6
months, from 1 June 2023 for financial year
2023/2024
PANEL OF LEGAL SERVICES
PANEL OF LEGAL SERVICES
PANEL OF LEGAL SERVICES
PANEL OF LEGAL SERVICES
PANEL OF LEGAL SERVICES
PANEL OF LEGAL SERVICES
PANEL OF LEGAL SERVICES","4B Protection Security Services Pty (Ltd)
Rooth and Wessels Inc t/a RW Attorneys
Robert Charles Attorneys
Leepile Attorneys
Bafana Ncube Inc t/a Ncube Inc Attorneys
Seanego Attorneys Incorporated
Mamatela Attorneys Incorporated
N Govender Attorneys Incorporated","To extend the current contract with 4B Protection
Security Services PTY (LTD) to provide physical
security services for SITA Gauteng Buildings on a
month to month basis, not exceeding a period of six
(6) months, starting on the 01 June 2023 and ending
on the 30 November 2023 while the BEC finalise the
process to appoint the new supplier
Finalisation of procurement process
Finalisation of procurement process
Finalisation of procurement process
Finalisation of procurement process
Finalisation of procurement process
Finalisation of procurement process
Finalisation of procurement process","R10 115 082.39
Rate based
Rate based
Rate based
Rate based
Rate based
Rate based
Rate based","R50 248 823.29
Rate based
Rate based
Rate based
Rate based
Rate based
Rate based
Rate based","R0.00
N/A
N/A
N/A
N/A
N/A
N/A
N/A","Noting
Noting
Noting
Noting
Noting
Noting
Noting
Noting","2023/05/31
2023/05/26
2023/05/26
2023/05/26
2023/05/26
2023/05/26
2023/05/26
2023/05/26","2023/06/01
2023/07/01
2023/07/01
2023/07/01
2023/07/01
2023/07/01
2023/07/01
2023/07/01","2023/11/30
2023/12/31
2023/12/31
2023/12/31
2023/12/31
2023/12/31
2023/12/31
2023/12/31",
"Q1 2023/24
Q1 2023/24
Q1 2023/24
Q1 2023/24
Q1 2023/24
Q1 2023/24
Q1 2023/24
Q1 2023/24
Q1 2023/24","New
New
New
New
New
New
New
New
New","2023/6/15
2023/6/15
2023/6/15
2023/6/15
2023/6/15
2023/6/15
2023/6/15
2023/6/15
2023/3/27","Financial Sector Conduct Authority
Financial Sector Conduct Authority
Financial Sector Conduct Authority
Financial Sector Conduct Authority
Financial Sector Conduct Authority
Financial Sector Conduct Authority
Financial Sector Conduct Authority
Financial Sector Conduct Authority
Manufacturing, Engineering and Related
Services Sector Education and Training Authority
(merSETA)SETA","PANEL OF LEGAL SERVICES
PANEL OF LEGAL SERVICES
PANEL OF LEGAL SERVICES
PANEL OF LEGAL SERVICES
PANEL OF LEGAL SERVICES
PANEL OF LEGAL SERVICES
PANEL OF LEGAL SERVICES
PANEL OF LEGAL SERVICES
Internal Audit services and any ancillary services","Louis George Verveen t/a Verveen Attorneys
Salijee Govender van der Merwe Incorporated
Chuene Mahlo Incorporated
Popela Maake Incorporated
Norton Rose Fulbright South Africa Incorporated
Mothle Jooma Sabdia Incorporated
Ndobela Lamola Incorporated
Kunene Ramapala Incorporated
Shumba Inc.","Finalisation of procurement process
Finalisation of procurement process
Finalisation of procurement process
Finalisation of procurement process
Finalisation of procurement process
Finalisation of procurement process
Finalisation of procurement process
Finalisation of procurement process
Extend the scope of work for Shumba Inc to perform
additional work on identifying irregular expenditure","Rate based
Rate based
Rate based
Rate based
Rate based
Rate based
Rate based
Rate based
R68 040.00","Rate based
Rate based
Rate based
Rate based
Rate based
Rate based
Rate based
Rate based
R1 477 516.13","N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
R263 941.16","Noting
Noting
Noting
Noting
Noting
Noting
Noting
Noting
Noting","2023/05/26
2023/05/26
2023/05/26
2023/05/26
2023/05/26
2023/05/26
2023/05/26
2023/05/26
2023/02/09","2023/07/01
2023/07/01
2023/07/01
2023/07/01
2023/07/01
2023/07/01
2023/07/01
2023/07/01
2020/09/01","2023/12/31
2023/12/31
2023/12/31
2023/12/31
2023/12/31
2023/12/31
2023/12/31
2023/12/31
2023/08/31",
Q1 2023/24,New,2023/3/28,National Research Foundation (NRF),"The NRF, through Corporate Communications, is
requesting an approval of additional 300 Omega All
Star Gift sets (branded with NRF Values) in
addition to the 1400 procured, received in March
2023 and subsequently distributed to all employees",Shining Future Trading and Projects,"The purpose of these project alongside the ongoing
work on organisational culture, is to remind employees
about the NRF’s espoused values while encouraging
everyone, with a daily visual reminder to strive to live
according to the values. This project is a way of
positive reinforcement to not only remember the values
but to strive towards demonstrating their intended
meaning through living them.",R13 178.50,R496 987.50,R0.00,Noting,2023/03/24,2023/03/24,2023/05/31,
Q1 2023/24,New,2023/3/31,South African Weather Service,"Expansion/variation of the contract with Mr. Clive
Eugene Connellan for the provision of three (3)
years.",Mr. Clive Eugene Connellan,"The South African Weather Service has a site lease
contract with Mr. Clive Eugene Connellan which runs
for three (3) years on the site where the East London
Radar in located. (Copy of signed contract
attached).The East London Radar is situated in
Smiling Valley, near Maclean town in the Eastern
Cape. This radar forms part of SAWS Infrastructure
Network that consist of a Radar Network, Lightning
Detection Network, an Upper air Sounding Network
and a Surface Observation Network. These networks
form the foundation of the SAWS forecasting and
research capability, covering East London and
surrounding areas to enable forecasters and
climatologists to issue accurate predictions. The
current contract ran from the 14th May 2020 and
expires on the 30th June 2023.SAWS and Mr. Clive
Eugene Connellan (Lessor) have entered into a
property leasing contact, wherein the Lessor let the
portion of its property situated at S32.755667,
E27.661602, Smiling Valley Farm, for installation of a",R162 011.44,R693 482.60,R0.00,Noting,2023/03/22,2023/07/01,2026/03/30,
Q1 2023/24,New,2023/4/2,South African National Parks (SANParks),"GK-PO012-2017 Rental of Earth Moving
equipment by a period of six months",Manchel Plant Hire,"The finalization of the new contract through the tender
process may take up to 6 months from the expiry date
of the current contract, and therefore making the
extension eminent",R23 900 000.00,R80 802 026.22,R0.00,Noting,2023/03/31,2023/04/26,2023/10/25,
Q1 2023/24,New,2023/4/5,National Research Foundation (NRF),"Provision of Board Induction Training for the
National
Research Foundation Board (Expansion of scope)",IODSA,"There was a request to expand the scope of the
aspects to be trained by the IODSA.",R7 331.25,R79 032.60,R0.00,Noting,2023/03/27,Once Off,Once Off,
Q1 2023/24,New,2023/4/5,National Research Foundation (NRF),"Supply and deliver a desktop scanning electron
microscope including all relevant software,
components, spares and a five (5) year service
and maintenance contract",Scientific and Precision Solutions (Pty) Ltd,"The expansion will allow SAEON to be able to cover the
rate of exchange that is affecting the purchasing of the
instrument. The ROE has increased (> R100 000)
since the bid submission and award.",R287 721.00,R1 918 140.00,R0.00,Noting,2023/03/30,2023/04/01,2026/03/31,
Q1 2023/24,New,2023/4/18,"Department of Women, Youth and Persons with
Disabilities (DWYPD)",Sign language for GRPBMEAF Workshop,DEAF empowerment,"Programme was taken longer than expected therefore
more hours required for interpreters",R6 000.00,R21 919.00,R0.00,Noting,2023/03/06,Once Off,Once Off,
Q1 2023/24,New,2023/4/18,"Department of Women, Youth and Persons with
Disabilities (DWYPD)",Rights of person with disability,TTS-Anew Hotel Hatfield,"More delegates attended the workshop than
anticipated",R558 872.56,R558 872.56,R0.00,Noting,2023/03/03,Once Off,Once Off,
Q1 2023/24,New,2023/4/12,Department of Science and Innovation (DSI),"Lease agreement for the National Advisory Council
on Innovation (NACI) and the National Intellectual
Property Management Office (NIPMO) for a further
period of six months, with effect from 1 March 2023
to 31 August 2023",Innovation Hubb Management Company,"DPW has not concluded office space; NACI and
NIPMO is already occupying the space; DPW process
must be followed in acquiring space; Notice of 90 days
must be given.",R1 443 085.40,R2 676 732.00,R1 304 137.88,Noting,2023/03/02,2023/03/02,2023/08/31,
Q1 2023/24,New,2023/4/12,Department of Science and Innovation (DSI),Fact finding investigation,Madhlopha Thenga Incorporated,"Due to the extensive work, travel and additional
interviews conducted which were outside the scope of
the original terms of reference",R121 900.00,R353 200.00,R0.00,Noting,2022/04/06,2023/04/06,2023/04/30,
Q1 2023/24,New,2023/4/12,Department of Science and Innovation (DSI),"Revise the Spending Review Methodology Training
Costs For 2022/23 Financial Year",GTAC,"The increased costs is the alignment of expenditure
data to Standard Chart of Accounts (SCOA) from
different financial systems used by the entities",R124 388.00,R800 000.00,R0.00,Noting,2022/05/11,2022/06/01,2022/12/31,
Q1 2023/24,New,2023/4/12,Department of Science and Innovation (DSI),"Request to approve an additional amount to the
initial quote for the digital Corporate Services
Handbook",UVO Communication,"Due to the additional information provided by the sub
programmes, the specified layout and format on the
terms of reference had to be changed which resulted
in the addition of extra seven pages to the 57 pages
initially requested",R23 701.50,R29 088.24,R0.00,Noting,2022/12/15,Once Off,Once Off,
Q1 2023/24,New,2023/4/19,National Research Foundation (NRF),"Provision of security services for SAEON national
office based in Colbyn, Pretoria for a period of 1
month (extension)",Prime African Security Services,"The existing SAEON security contract is expiring by
end of 31 March 2023 and a new supplier to guard the
SAEON national office has not been appointed
because the 5 years bid for security services was
stopped .The BEC members were informed of a high
possibility that new premises would be sought for the
national office to provide a more secure working
environment.",R27 117.00,R336 720.00,R0.00,Noting,2023/03/30,2023/04/01,2023/04/30,
Q1 2023/24,New,2023/5/8,South African Weather Service,"Extension of the SLA contract of Maintenance and
Support for the current Wide Area Network (WAN).",Internet Solutions (Dimension Data),"The current support and maintenance contract
provided by Internet Solutions (Dimension Data) needs
to be extended by 8 months to align with the
deployment period of the new Software Defined WAN
which is envisaged to start 1st of May 2023.The
minimum period for the deployment new SD Wan
project is six months to eight months. In the light of
recent development on the occupation of the Eco
Glades building and possible relocation in September
2023, it is in SAWS best financial interest to request
an extension for the Internet Solutions contract to
avoid cost escalations to meet the connectivity
requirements of the new offices.(Continuity of service)",R6 783 382.88,R31 121 905.82,R17 174 155.12,Noting,2023/04/11,2023/05/01,2023/12 30,
Q1 2023/24,New,2023/5/8,South African Weather Service,"Extension of the existing security contract with
Khensani Security Service for the provision of
security service.",Khensani Security Services,"Khensani Security Services were awarded three (3)
contracts in November 2021 and the respective
contracts were synchronized to all expire on the 30
April 2023. It is envisaged that the ongoing tender
process will only be concluded during month of July
2023. (Continuity of service while going out on tender)",R1 017 800.76,R4 580 103.52,R22 611.35,Noting,2023/04/15,2023/05/01,2023/08/31,
Q1 2023/24,,2023/5/8,South African Weather Service,"Extension of the existing contract with KNL
Holdings for the provision of cleaning service for
both Irene and Head Office",KNL Holdings,"The RFQ process to appoint a new service provider is
currently underway, with the terms of reference still
not finalized. Due to the RFQ not being advertised to
date, Facilities requests the extention of the KNL
Holdings Cleaning Services by a period of additional
one (1) month. (Continuity of service while going out
on tender)",R76 532.40,R229 597.18,R0.00,Noting,,,,
,Q1 2023/24,New,2023/5/8,South African Weather Service,"Variation on the ADT -Fidelity contract, for six (6)
radar sites",ADT-Fidelity Security Services,"The reason for contract variation is business continuity
and protection on company assets while the
department reviews the budget, the bid specifications
and goes out on new tender. These radars are situated
in remote locations, their proximity to hideouts and
bushes make them susceptible to break-ins and theft,
hence the extension of this 24-hour security camera
Monitoring and Armed Response is critical to prevent
vandalism of our radar infrastructure. These selected
sites were vandalised and damaged in the past.",R172 169.38,R329 858.16,R0.00,Noting,2023/04/26,2023/04/01,2024/03/31,
,Q1 2023/24,New,2023/5/3,South African National Space Agency (SANSA),High Performance Computers,Thamani Technologies,"Delay in delivery due to shortage of global computer
chips and changes in the RoE.",R183 000.00,R5 105 475.60,R0.00,Noting,2023/03/30,2023/03/30,2023/03/31,
,Q1 2023/24,New,2023/4/30,"Insurance Sector Education and Training
Authority (Inseta)SETA","Procurement through other means - Request for
approval the time extension and variation of the
contract for Omphi Construction for the Provision
of Project Management Turnkey Solution: Office
Fitout, Office Relocation for INSETA.",Omphi Construction,"INSETA occupied the new office accommodation from
1st December 2022 with the office renovations and
fitout project currently underway. The office renovation
and fitout project with the construction drawings took
longer than anticipated due to the consultation and
approval processes with the landlord, the municipality,
various experts, and engineers.",R542 811.12,R1 685 253.70,R0.00,Noting,2022/11/29,2022/11/29,2023/08/31,
,Q1 2023/24,New,2023/4/26,"Services Sector Education and Training Authority
(SSETA)SETA","Appointment of a service providers for media
production and marketing services",Brown Block Solutions,"The appointment of a new provider might not have
been economical, and the quality of the work already
done would be compromised.",R24 875.08,R545 100.00,R0.00,Noting,2023/03/31,2023/04/24,2023/04/24,
,Q1 2023/24,New,2023/5/9,"Department of Environment, Forestry and
Fisheries (DEFF)","Competency assessments for the project
managers: regional tyre industry waste
management plan oversight x 3",Treetops management and development consultants,"To finalise the competency assessments for project
manager",R26 673.00,R88 910.00,R0.00,Noting,2023/04/28,2023/06/23,2023/06/23,
,Q1 2023/24,New,2023/5/17,"Services Sector Education and Training Authority
(SSETA)SETA","Appointment of a service provider to supply and
install the partitioning of the office at Building B
ground floor at Parktown Head Office",Mitigu Trading and Projects (Pty) Ltd,"To protect and maintain of Services SETA's assets,
health and safety of staff members, stakeholders, and
visitors",R16 915.30,R133 227.50,R0.00,Noting,2023/05/12,2023/05/15,2023/05/31,
,Q1 2023/24,New,2023/5/18,"Finance and Accounting Services Sector
Education and Training Authority (Fasset)SETA",Boardpack Software,Ability Holdings t/a Convene,"Additional convene licenses for external/guest
participants",R767 337.50,R31 280.00,R0.00,Noting,2023/03/16,2023/03/16,2023/03/30,
,Q1 2023/24,New,2023/3/16,"Media, Information and Communication
Technologies Sector Education and Training
Authority (MICT SETA)SETA","Website hosting, maintenance and support
services.",Cyberfox CC,"The service of hosting of the website is crucial as the
website is a critical communication tool with the
Stakeholders. It is important for MICT SETA to extend
the current contact with Cyberfox CC to afford the
MICT SETA adequate time to process and conclude
the transition process.",R24 564.00,R59 074.35,R36 846.00,Noting,2023/02/28,2023/03/01,2023/04/30,
,Q1 2023/24,New,2023/3/16,"Media, Information and Communication
Technologies Sector Education and Training
Authority (MICT SETA)SETA","Provision of interim cloud hosting solution of MICT
SETA’s business applications and expand the
current contract for implementation, support and
maintenance of Wide Area Network (WAN)
services, security, and backup services.",Mobile Telephone Networks (Pty) Ltd T/A MTN SA,"The request to appoint MTN SA as a interim single
service provider is due to the urgent requirement for
the MICT SETA critical systems to be moved into the
cloud scheduled for Go-Live during March 2023 for
business continuity in the interim. Hosting of business
applications is a critical service which requires proper
planning and it is anticipated that the SITA cloud
hosting platforms will not be available and ready by the
time the critical systems require secure hosting.",R1 664 910.46,R23 967 196.63,R0.00,Noting,2023/03/06,2023/04/01,2024/03/31,
,Q1 2023/24,New,2023/3/16,"Media, Information and Communication
Technologies Sector Education and Training
Authority (MICT SETA)SETA","Provision of Office Space Accommodation for the
Durban Regional Office",Tupac Business Enterprises CC,"Following National Treasury’s approval for the
cancellation of the bid and advice to conduct
exploration and identification of office space for
Durban Regional Office, and the permission to
conduct exploration and identification of buildings was
approved by the MICT SETA Accounting Officer. Four
(04) buildings were identified by Durban Regional
Office Officials and a closed bid was issued to the four
(04) building owners on 29 September 2022 with the
closing date 14 October 2022. On the closing date no
bids received.The fourth and the current bid was
issued on 24 October 2022 with the closing date 04
November 2022. On the closing date only one (01) bid
received, and the bid was cancelled due to bids not
meeting the Mandatory Criteria requirements.",R131 201.20,R1 426 613.64,R196 801.80,Noting,2023/02/28,2023/03/01,2023/06/30,
,Q1 2023/24,New,2023/3/20,"Finance and Accounting Services Sector
Education and Training Authority (Fasset)SETA",Internal Audit Services,Ntumba and Associates Consulting,Adhoc matters that require Internal Audit assurance,R2 459 809.95,R364 385.05,R0.00,Noting,2023/02/28,2023/03/01,2023/06/30,
,Q1 2023/24,New,2023/6/12,South African Weather Service,"Approval request on the extension of Nama Khoi
Office Premises for an additional 6 month period",Nama Khoi Municipality,"Continiuty of Service - while the transfer to SAWS’s
name has not yet been concluded",R75 951.66,R304 064.40,R0.00,Noting,2023/06/06,2023/07/07,2023/12/31,
,Q1 2023/24,New,2023/6/12,South African Weather Service,"Expansion/variation of the contract with Global
Computing and Telecoms for the provision of Azure
account Activation services for SAWS",Global Computing Telecoms,"Expansion of scope of work to prepare the landing
zone needs",R30 000.00,R85 000.00,R0.00,Noting,2023/06/06,Once Off,Once Off,
,Q1 2023/24,New,2023/6/13,"Department of Environment, Forestry and
Fisheries (DEFF)","Request approval for the extension of contract for a
period of six (6) months between the department of
Forestry, Fisheries and the Environment (DFFE)
and Ilembe advisory (pty) for the continuation on
facilitation and implementation of the change
management strategy",Ilembe Advisory (PTY),"For the continuation on facilitation and implementation
of the change management strategy",R270 000.00,R540 000.00,R0.00,Noting,2023/05/12,Once Off,Once Off,
,Q1 2023/24,New,2023/5/18,Agrément South Africa,"Provision of Travel Managemen Services to
Agrément South Africa",Travel with Flair,"The contract was not operational due to no travelling
taking place over the Covid-19 lockdown period.",Rate based,Rate based,R0.00,Noting,2022/05/01,2022/05/01,2023/04/30,
,Q1 2023/24,New,2023/5/18,Agrément South Africa,"Appointment of a Service Provider for the Provision
of Azure AD Premium Ps and Backup & site
recovery annual license including monitoring and
support",Intellitech Systems,"The contract was extended due to the procurement
process for the new service provider not being
finalised timeously.",R17 892.92,R110 241.01,R0.00,Noting,2022/06/01,2022/06/01,2022/07/31,
,Q1 2023/24,New,2023/5/18,Agrément South Africa,ASA Asset insurance,African Dawn Risk Solutions,"The contract was extended due to an increase in the
asset base resulting in an increased amount to be
paid.",R58 498.04,R268 372.00,R0.00,Noting,2022/12/06,2022/12/06,2023/12/07,
,Q1 2023/24,New,2023/5/30,National Research Foundation (NRF),"Expansion of Contract: NRF SARAO SKA - 001-
2020-: MEERKAT Extension/Expansion as awarded
to Concor Infrastructure & OptiPower Consortium",Concor Infrastructure & OptiPower Consortium,"Expansion in Scope (changes on Design and
Construction), Time Delays (Rain) which led to
consequential damages, and delay in Materials (Fibre
and Electrical Equipment) due to international supply
shortages and shipping delays.",R61 228 197.00,R242 296 357.69,R0.00,Noting,2023/05/23,2023/06/01,2023/07/01,
,Q1 2023/24,New,2023/6/1,"South African Broadcasting Corporation SOC
Limited (SABC)","Provision of a temporary Call Centre solution and
facilitate
the implementation, commissioning, maintenance,
and
support of the TV Licences solution",Gijima Holdings Pty Ltd,Expansion of scope,R1 040 915.57,R62 056 732.92,R0.00,Noting,2023/04/04,2023/05/01,2024/03/31,
,Q1 2023/24,New,2023/6/1,"South African Broadcasting Corporation SOC
Limited (SABC)",Refurbishments of Toilets and kitchens,Gabsane Holdings Pty Ltd,Continuity of Project Implementation,R0.00,R2 090 319.79,R0.00,Noting,2023/04/28,2023/05/01,2023/08/31,
,Q1 2023/24,New,2023/6/1,"South African Broadcasting Corporation SOC
Limited (SABC)",Provision of KZN Security,Mafoko Security Patrols Pty Ltd,Continuity of services,R1 045 460.16,R12 301 235.54,R1 045 460.16,Noting,2023/04/26,2023/05/01,2023/07/31,
,Q1 2023/24,New,2023/6/1,"South African Broadcasting Corporation SOC
Limited (SABC)","Provision of media buying services for the
promotion on
Metro FM Music Awards",Tsalena Media Pty Ltd,Expansion of contract value for the MMA,R1 725 000.00,R46 895 000.00,R0.00,Noting,2023/04/16,2023/04/17,2023/05/07,
,Q1 2023/24,New,2023/6/1,"South African Broadcasting Corporation SOC
Limited (SABC)",Provision of HALO ITMS,Gijima Holdings Pty Ltd,Continuity of services,R223 395.99,R3 825 229.59,R0.00,Noting,2023/04/28,2023/05/01,2023/07/31,
,"Q1 2023/24
Q1 2023/24","New
New","2023/6/6
2023/6/6","Human Sciences Research Council (HSRC)
Human Sciences Research Council (HSRC)","Temporary Cape Town Office rental
Removal and storage (boxes)","RMG Management Groups SA (Pty) Ltd
Biddullphs","Temporary Cape Town Office rental
Asset verification and storage for additional three (3)
months","R333 141.20
R248 400.00","R999 423.60
R999 739.87","R0.00
R0.00","Noting
Noting","2023/03/27
2023/05/25","2023/04/01
2023/05/01","2023/05/31
2023/07/31",
"203 Q1 2023/24
2023/2024 QUARTER 1
Total number of Expansions received:",,"New
203","Eastern Cape Socio-economic Consultative Council ECSECC submitted are revised quote based on the
2023/6/6
Human Sciences Research Council (HSRC) Women rise project R200 000.00 R300 000.00 R0.00 Noting 2023/05/19 2023/06/01 2024/06/30
(ECSECC) workshop recommedations.",,,,,,,,,,,,
"Total number of Expansions reviewed:
Applications from Q4
Number of Expansions - Not Reported as at 30 June 2023
Percentage Achieved",,"203
0
0
100.00%",,,,,,,,,,,,,
Signature___________________________________,,,,,,,,,,,,,,,
"SIZI QOLOHLE
CHIEF DIRECTOR: SCM GMC",,,,,,,,,,,,,,,
,
,
,ADDITIONAL INFORMATION,,
,,,
"Date Signed (yyyy/mmNo/dt dfi)nalised cases by allNoUcaMteBdE iRn dOivFid DuaAlYS DEVIATIOANc tRuEalP AOmRoTu RntE NCoEt ISVuEpADpcoturtael dA mount ConditionTaol taSlu apmpoorutendt Pending, Noting, Closing & Other DROPDOWN LISTS",,,
,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
""
""
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
