Number,Date Received (yyyy/mm/dd),Entity/Department (Use dropdown List),Project Description,Supplier,Reason for extension,"Original Contract
92,2020/02/13,"Manufacturing, Engineering and Relate for Q1d SETA",Provision of office accommodation,AIDC,Continuity of Service,"R 357,048.00","R 618,555.12","R 7,207,577.59",2020/2/6,Conditional support,2020/04/01,2021/03/31
93,2020/02/13,"Manufacturing, Engineering and Relate for Q1d SETA",Provision of office accommodation,Retcon,Continuity of Service,"R 1,020,000.00","R 1,551,936.12","R 5,686,960.00",2020/2/6,Conditional support,2020/04/01,2021/03/31
94,2020/02/13,"Manufacturing, Engineering and Relate for Q1d SETA",Provision of office accommodation,Mauveine,Continuity of Service,"R 265,392.00","R 812,908.92","R 9,713,171.12",2020/2/6,Conditional support,2020/04/01,2021/03/31
95,2020/02/13,"Manufacturing, Engineering and Relate for Q1d SETA",Provision of office accommodation,Koutoris Trust,Continuity of Service,"R 265,392.00","R 951,537.60","R 5,196,777.12",2020/2/6,Conditional support,2020/04/01,2021/03/31
96,2020/02/13,"Manufacturing, Engineering and Relate for Q1d SETA",Provision of office accommodation,Klipdrift,Continuity of Service,"R 558,116.80","R 217,876.80","R 735,008.74",2020/2/6,Conditional support,2020/04/01,2021/03/31
97,2020/02/13,"Manufacturing, Engineering and Relate for Q1d SETA",Provision of office accommodation,De Bruyn,Continuity of Service,"R 1,421,577.92","R 882,681.60","R 983,141.04",2020/2/6,Conditional support,2020/04/01,2021/03/31
98,2020/02/13,"Manufacturing, Engineering and Relate for Q1d SETA",Provision of office accommodation,Capricon FET,Continuity of Service,"R 323,242.12","R 127,483.24",R 0.00,2020/2/6,Conditional support,2020/04/01,2021/03/31
99,2020/03/23,"Manufacturing, Engineering and Relate for Q1d SETA",Calculations of return on investments,Fidelity Security services,Expansion of scope,"R 128,800.00","R 687,462.12",R 0.00,2020/3/13,Not supported,Not Stated,Not Stated
100,2020/01/23,Mhlathuze Water,"Professional Fees (Design, monitor construction and
commissioning of New Weir Structure)",Bvi Consulting Engineers,Revision of construction cost,"R 3,441,831.00","R 996,297.45",,23/1/2020,Supported,Not Stated,Not Stated
101,2020/02/20,Mining Qualifications Authority,"Provision , support and manage MQA's Workplace Skills
Plan (WSP) / Annual Training Report (ATR) submission and",Naicker Consulting Services t/a IT Aware,"MQA will not have enough time to
ensure that the new system is","R 4,880,000.00","R 1,059,210.55","R 671,315.80",20/2/2020,Conditional support,2020/01/03,31/5/2020
102,2020/03/26,National Film and Video Foundation,"approval system.
Services for management of internal and external
communications",Instinctif Partners,"thoroughly tested and all system
Cancellation of the SAFTA's due to
COVID 19","R 1,256,605.00","R 209,434.16",R 0.00,2020/03/26,Supported,2020/04/01,2020/05/31
103,2020/01/13,National Treasury,Provision of printing service of Embargoed Information,ABC Printers,Additional Scope of service,"R 10,919,700.00","R 4,786,498.00",R 0.00,Not provided,Not supported,2020/01/27,3 Years
104,2020/01/09,National Treasury,Provision of consulting services,ORACLE,Additional scope of work,"R 756,200,000.00","R 147,763,300.00",R 0.00,Not provided,Not supported,Date of approval,2021/04/29
105,2020/02/07,National Treasury,Extension of security services,Rise Security Services,Competitive bidding in progress,"R 22,607,929.80","R 4,660,499.00",R 0.00,Not provided,Supported,2020/04/04,2020/09/30
106,2020/03/25,National Treasury,Variour RT Contracts,Various service providers,Competitive bidding in progress,Not stated,Not stated,Not stated,Not provided,Supported,Date of approval,4 months
107,2020/01/10,NPA,"Direct Leases for GP, LP, MP, FS, & NC offices",Different suppliers,Continuation of scope,"R 14,027,198.57","R 4,287,297.69","R 5,282,244.49",2019/12/19,Conditional support,2020/04/01,2021/03/31
108,2020/02/22,NRCS,Provision of office accommodation,Zaft Properties (Pty) Ltd,To start a new procurement process,Not stated,"R 2,183,060.00",Not stated,2020/02/14,Not supported,2020/03/01,2021/02/28
109,2020/02/22,NRCS,Provision of office accommodation,Arvesco 100 (Pty) Ltd,To start a new procurement process,Not stated,Not stated,Not stated,2020/02/14,Not supported,2020/03/01,
110,2020/02/22,NRCS,Provision of office accommodation,Zaft Properties (Pty) Ltd,To start a new procurement process,Not stated,"R 2,183,060.00",Not stated,2020/02/14,Not supported,2020/03/01,2021/02/28
111,2020/02/22,NRCS,Provision of office accommodation,Arvesco 100 (Pty) Ltd,To start a new procurement process,Not stated,Not stated,Not stated,2020/02/14,Not supported,2020/03/01,2021/02/28
112,2020/01/06,PSETA,Legal Services: Disciplinary Hearings,Modibedi Sebele Phetoe Attorneys,Continuity of Service,"R 273,000.00","R 900,000.00",R 0.00,2019/11/6,Supported,Not Stated,Not Stated
113,2020/02/13,PSETA,"Integrated Management Information System (MIS) and
Enterprise Resource Planning (ERP)",Solugrowth,Continuity of Service,"R 2,100,000.00","R 2,100,000.00","R 5,508,728.00",2020/2/18,Conditional support,2020/4/1,2021/3/31
114,2020/03/12,Road Accident Fund,"Lease contract for office lease accommodation at RAF East
London",Drury Lane Properties,Continuation of service,"R 34,603,216.04","R 9,161,131.52","R 8,078,583.52",13/3/2020,Supported,2020/04/02,2021/04/01
115,2020/03/05,Road Accident Fund,"Lease contract for office lease accommodation at RAF
Polokwane Customer Service Centre",TVR Beleggings CC,Annual lease escalation,"R 3,201,680.21","R 40,549.50","R 1,095,825.12",2020/05/03,Not supported,Not stated,2020/12/01
116,2020/01/17,Rural Development and Land Reform,Vary the telephone maintenance contract,Advanced Voice Systems (Pty) Ltd,"Additional work was not included in
the terms of reference (TORs) when","R 645,310.43","R 292,592.81",R 0.00,2019/12/19,Supported,Not Stated,Not Stated
117,2020/03/05,SABC,Off-site TV Licence inbound call centre,Transaction Capital recoveries (Pty) Ltd,"a tender was issued
Continuity of Service","R 8,073,000.00","R 8,508,942.00","R 1,083,127.50",2020/3/3,Conditional support,2020/4/15,2021/3/14
118,2020/03/11,SABC,Bulk SMS Licence inbound call centre services,Sizwe Africa IT,contract amount depleted,"R 4,687,484.00","R 2,100,000.00",R 0.00,2020/3/10,Supported,2020/4/1,2021/3/31
119,2020/02/13,SABC,Development of new sales incentive scheme,21st Century,Scope expansion,"R 409,500.00","R 86,956.52","R 60,890.43",Not provided,Not supported,not specified,Not specified
120,2020/02/18,SABS,High power palnt repair,Marthinusen & Coutts Cleveland,"Additional defects beyond the scope
were discovered","R 7,745,350.00","R 4,350,465.00",R 0.00,2020/02/17,Conditional support,Commenced already,2023/08/31
Number,Date Received (yyyy/mm/dd),Entity/Department (Use dropdown List),Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/recommend
ed by AO/ AA","not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
121,2020/02/18,SABS,High power palnt repair,Marthinusen & Coutts Cleveland,"Additional defects beyond the scope
were discovered","R 7,745,350.00","R 4,350,465.00",R 0.00,2020/02/17,Conditional support,Commenced already,2023/08/31
122,2020/03/18,SALGA,"Develop and Implement a Municipal Leaders and Stakeholder
Engagement Learning Programme (MSEP)","Change Strategies Consulting
Services",Cover additional costs,"R 5,983,100.00","R 989,570.00","R 465,486.10",2020/02/28,Not supported,2020/03/01,2020/09/30
123,2020/02/27,SANS,Payroll Services,CPI Holdings,Tender cancellation,Not stated,Not stated,Not stated,2020/02/04,Conditional support,2020/03/01,2020/05/31
124,2020/02/27,SANS,Payroll Services,CPI Holdings,Tender cancellation,Not stated,Not stated,Not stated,2020/02/04,Conditional support,2020/03/01,2020/05/31
125,2020/03/18,SANSA,Provision of office accommodation,Innovation Hub,Continuity of Service,R 0.00,"R 143,413,580.46",R 0.00,2020/3/5,Conditional support,2020/4/1,2030/3/31
126,2020/01/08,SAPO,Cash in transit,Fidelity Security,Continuity of service,"R 36,000,000.00","R 6,000,000.00","R 6,000,000.00",Not provided,Not supported,2020/01/01,2020/03/31
127,2020/02/21,SAPO,Cash in transit,G4s,"Closure of Standard Bank Branches
offering bulk cash delivery services","R 107,482,525.28","R 3,378,000.00","R 135,000,000.00",Not provided,Supported,2017/06/01,2020/05/31
128,2020/01/22,SAPO,Fleet & Logistics,Arrow Logistics & Fleet Africa,Competitive bidding in progress,"R 270,788,549.44","R 52,900,000.00",R 0.00,Not provided,Supported,2020/04/01,2020/09/30
129,2020/03/16,SAPO,Insurance Brokers,Indwe Risk,Competitive bidding in progress,"R 1,843,815.00","R 2,534,604.00",R 0.00,Not provided,Supported,2020/03/28,2021/03/28
130,2020/03/16,SAPO,Security Mangement,In2IT Technologies,Continuity of service,"R 26,566,566.00","R 16,539,215.00",R 0.00,Not provided,Supported,2020/06/01,2022/05/31
131,2020/01/23,SARS,Software maintenance and support services,Blue Turtles Technologies,Continuity of service,"R 14,718,068.74","R 2,924,334.92","R 2,678,394.61",Not provided,Not supported,2020/02/01,2020/03/31
132,2020/01/06,SARS,JEM Decision Tree (Web Based),Korn Ferry,Continuity of service,"R 351,645.20","R 622,911.53","R 490,832.57",Not provided,Supported,2019/01/08,2022/07/31
133,2020/01/08,SARS,Additional Sostware for Carbon Tax Project,Quantum Leap Consulting & Gijima (Pty)Ltd,Additional Scope of service,"R 9,408,442.56","R 1,663,363.68",R 0.00,Not provided,Not supported,Date of approval,2020/06/30
134,2020/01/08,SARS,Additional Software Testers for Carbon Tax Project,Quantum Leap & Gijima Holdings,Scope expansion,"R 9,408,442.56","R 1,663,363.63",R 0.00,Not provided,Not supported,Date of approval,2020/06/30
135,2020/03/18,SARS,Provision of office accommodation,MRR Management,"Unsuccesful market research for
alternate space","R 5,191,738.17","R 16,187,419.14",R 0.00,Not provided,Supported,2020/05/01,2025/04/30
136,2020/01/21,SASSA,Security Services for six month,Not state,Competitive bidding in progress,Not stated,Not stated,Not stated,2020/01/14,Conditional support,Not stated,Not stated
137,2020/01/14,Science and Innovation,Provision of office accommodation,Innovation Hub,Continuity of Service,"R 1,046,204.00","R 563,820.00",R 0.00,2020/1/14,Supported,2020/04/01,2020/06/30
138,2020/02/24,SITA,Operating Lease Agreement (EL Switching Centre),Ornyx Investments,Continuity of service,"R 323,290.92","R 195,510.12","R 1,325,614.21",Not provided,Supported,2020/04/01,2020/03/31
139,2020/02/21,SITA,Provision of office accommodation (Kimberly Office),Bridge Trust,Continuity of service,"R 4,068,933.51","R 1,421,400.00","R 5,638,985.01",Not provided,Supported,2020/03/01,2021/02/28
140,2020/02/10,SITA,IT systems configuration and commissioning,CHM Vuwani,Expansion of scope,"R 23,309,063.63","R 4,194,541.05",R 0.00,Not provided,Supported,Date of approval,Not specified
141,2020/03/11,SITA,Provision of office accommodation,Capital Profound 1,Failed bid process,"R 7,296,529.80","R 14,167,818.41","R 45,131,791.09",Not provided,Conditionally supported,2020/04/01,2023/03/31
142,2020/01/09,Small Enterprise Development Agency (SEDA),Office accommodation in Harry Gwala branch,Herring Estates and Brokers CC,Continuity of Service,"R 1,592,390.37","R 136,768.77","R 182,358.36",2020/1/9,Supported,2020/2/1,2020/04/30
143,2020/01/24,Small Enterprise Development Agency (SEDA),Provision of office accommodation - Johannesburg,Sanlam Life Insurance Ltd,Continuity of Service,"R 4,670,095.00","R 313,387.56","R 3,270,317.44",2020/1/24,Supported,2020/2/1,2020/03/31
144,2020/03/18,Small Enterprise Development Agency (SEDA),Travel management services,Club Travel Corporate,Continuity of Service,"R 1,105,330.92","R 833,538.23",R 0.00,2020/3/18,Supported,2020/12/1,2022/11/30
145,2020/03/18,Small Enterprise Development Agency (SEDA),Security services,Fidelity Security services,Continuity of Service,"R 1,575,802.89","R 606,915.33",R 0.00,2020/3/18,Supported,2020/6/1,2020/12/31
146,2020/02/11,South African Diamond and Precious Metals Regulator,Provision of office accommodation,Divercity,"New premises not ready for
occupation","R 9,863,274.84","R 1,263,385.46","R 9,244,929.38",2020/10/02,Not supported,2020/01/09,28/2/2021
147,2020/01/06,South African Health Products Regulatory Authority,Additional office accommodation,CSIR,"Additional space for Backlog
Eradication Project Team","R 3,522,236.90","R 195,750.24","R 3,090,000.00",2019/12/30,Not supported,2019/01/08,30/1/2020
148,2020/03/02,South African National Parks,Provision of short- term insurance,Marsh/indwe,Continuity of Service,"R 24,724,807.48",R 0.00,R 0.00,2020/2/27,Conditional support,2020/03/01,2/29/2022
149,2020/03/13,South African National Parks,To conduct an asessment on Greatplains application system,Sethewo (Pty) Ltd,Variation order,"R 1,497,300.00","R 495,980.00",R 0.00,2020/3/12,Supported,2018/09/01,31/8/2023
150,2020/03/18,South African National Parks,Internal audit services,Grant Thornton/BDO,Variation order,"R 8,972,000.00","R 213,892.77",R 0.00,2020/3/18,Not supported,2020/04/01,2020/06/01
151,2020/01/29,South African National Roads Agency,"Consulting engineering and supervision of the operation and
maintenance of Huguenot Toll Tunnel",ITS/Tadeson joint venture,"A tender to replace engineer is
cancelled","R 18,221,212.00","R 7,288,485.00",R 0.00,,Supported,2020/02/01,2020/07/31
152,2020/01/29,South African National Roads Agency,Operation and maintenance of Huguenot Toll Tunnel,Tolcon Group,"A tender to replace engineer is
cancelled","R 295,688,315.00","R 7,288,485.00",R 0.00,,Supported,2020/02/01,2020/07/31
153,2020/01/30,South African National Space Agency (SANSA),Provision of office accommodation,Innovation Hub,Continuity of Service,"R 5,652,473.00","R 13,663,000.00","R 17,611,370.00",2019/12/12,Supported,2020/04/01,2022/06/30
154,2020/03/24,South African Police Service,Travel management services,Travel with Flair,Continuity of Service,"R 23,877,501.00",500 000 .00,"R 10,000,000.00",2020/3/23,Supported,2020/04/01,2020/04/30
155,2020/02/18,South African Police Service,"Re-zoning and sub-division application of the town and
regional planner",TPM Stadsbeplanners,Continuity of Service,"R 144,096.00","R 26,398.60","R 47,880.00",2020/3/18,Supported,Not Stated,Not Stated
156,2020/02/25,South African Tourism,Commercial Insurance,MiWay,Continuity of Service,437 410.00,"R 104,872.00",R 0.00,2020/2/25,Conditional support,Not Stated,Not Stated
157,2020/01/10,South African Weather Service,"Verification authentication processes on atmospheric and
meteorological terminology developed",PanSALB,Continuity of Service,"R 1,117,645.00","R 770,329.00",R 0.00,2020/1/10,Not supported,Not Stated,Not Stated
158,2020/12/20,State Diamond Trader,Lease of an Office building,Redifine Properties,"The commencement date of the
construction of new premises has","R 2,472,196.00","R 813,061.00","R 2,344,295.00",2019/12/20,Not supported,2020/01/02,28/2/2021
159,2020/02/05,StatsSA,CsPro Data Collection System,JICHO,"been delayed
Scope expansion","R 1,420,250.00","R 4,740,372.00",R 0.00,Not provided,Supported,Date of approval,Not specified
160,2020/03/02,StatsSA,QLFS Questionnaires,Ren-Form,CAPI and PAPI collection,"R 2,599,479.00","R 499,100.00","R 1,030,400.00",Not provided,Not supported,Not specified,Not specified
161,2020/03/30,TETA,Provision of fibre optic lines and telephone usage,Thuni Logistics,Competitive bidding in progress,"R 127,680.00","R 365,255.64","R 887,665.20",2020/03/20,Supported,2020/04/01,2020/06/30
162,2020/01/21,Trans-Caledon Tunnel Authority,"Construction of Phase 2C: Pipeline from De Hoop Dam to
Steelpoort in Oliphantâ€™s River Water Resources Development
Project (ORWRDP 2)",Basil Read (Pty) Ltd,Continuity of Service,"R 1,165,000,000.00","R 166,000,000.00","R 402,000,000.00",2020/01/21,Conditional support,Not Stated,Not Stated
Number,Date Received (yyyy/mm/dd),Entity/Department (Use dropdown List),Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/recommend
ed by AO/ AA","not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
163,2020/01/21,Trans-Caledon Tunnel Authority,"Support to TCTA during valuation and claim resolution
process (ORWRDP 2)",Aurecon Ndodana Joint Venture,Continuity of Service,"R 217,000,000.00","R 12,300,000.00","R 160,000,000.00",2020/01/22,Conditional support,Not Stated,Not Stated
164,2019/12/19,Transnet,"Professional Services Contract For 3 Tunnel Sections
Beaconhill, Lowlands and Tweede Located on the Natcor Line",RCE,Complete the remaining work,"R 10,056,466.99",R 0.00,R 0.00,2019/12/17,Supported,"1 month, 24 days","1 month, 24 days"
165,2020/01/29,Transnet,"Security Services- Ports of Richards Bay, Durban, Cape
Town and Sldanha","Unitrade cc t/a Isidingo
Fidelity
Venus",Competitive bidding in progress,"R 21,340,619.76","R 38,375,830.53","R 9,463,744.77",2020/01/29,Conditional support,2020/02/01,2020/03/31
166,2020/01/28,Transnet,"Security Services - Security Services at Gauteng and North-
West Provinces to Various Transnet Pipelines (TPL)
Properties",Sinqobile Equestrian Services (Pty) Ltd,Continuation of scope,"R 39,788,867.00","R 4,517,229.91","R 13,369,059.33",2020/01/24,Conditional support,2020/02/03,2020/08/02
167,2019/12/19,Transnet,"Professional Services Contract For 3 Tunnel Sections
Beaconhill, Lowlands and Tweede Located on the Natcor Line",RCE Consultants (Pty) Ltd,Continuity of service,"R 10,056,466.99",R 0.00,R 0.00,2019/12/17,Conditional support,"1 month, 24 days","1 month, 24 days"
168,2020/01/24,Transnet,Provision of Insurance Brooking Services,Willis South Africa (Pty) Ltd,Continuity of service,"R 45,000,000.00",R 0.00,R 0.00,2020/01/30,Conditional support,2020/02/01,2020/03/31
169,2019/12/17,Transnet,Provision of Occupational Health Services,Medicross,Change in operational requirements,"R 303,599,748.00","R 73,861,874.00",R 0.00,2020/03/17,Conditional support,Date of approval,2021/02/28
170,2019/12/19,Transnet,"Manufacture, Transport and Installation of Pre-Stressed
Concrete Bridge at Vredendal",Mathomomayo Investment Holdings,Additional scope of work,"18,176,456.31",R 0.00,R 0.00,2019/12/17,Conditional support,2019/12/23,2020/11/29
171,2020/03/28,Transnet,Insurance Broking Services,"Willis South Africa (Pty) Ltd and Marsh (Pty)
Ltd","Continuation of service and to test
the market","45,000,000.00",not stated,not stated,2020/03/27,Conditional support,2020/04/01,2020/09/30
172,2020/03/28,Transnet,Refined Petroleum Fuel to Transnet Soc Limited,"Women of Africa, Afric Oil & KZN Oils, NRW
Logistics, Yem Yem Petroleum, Gulfstream
Burutho Gas & Thokaina 21","Continuation of service and to test
the market","15,500,000,000.00","645,967,089.00","R 13,248,490,078.00",2020/03/28,Conditional support,2020/04/01,2020/06/30
173,2020/02/24,Transport,Fleet Management services,Phakisa World,Continuity of Service,R 0.00,"R 180,194,320.05","R 1,756,065,955.00",2020/2/24,Conditional support,2020/2/29,2021/2/28
174,2020/02/18,UIF,"Implementation of new GRAP standards and Financial
Disclosure transactions",Altimax,Scope expansion,"R 976,500.00",,"R 1,874,250.00",Not provided,Supported,2019/05/31,2022/04/30
175,2020/02/17,UIF,"Development,support and maintenance of uFilling and Virtual
office",Interfile,Scope expansion,"R 48,191,040.24","R 1,470,662.55","R 12,757,659.26",Not provided,Supported,2020/04/01,2020/06/30
176,2019/12/19,Umgeni Water,"Vulindlea Bulk Water Supply Scheme: Howick West to
Reservoir 2 Pipeline Route",KSEMS Consulting,Address comments from DEA,"R 365,200.00","R 63,986.00","R 279,954.00",2020/01/10,Not supported,Not Stated,Not Stated
177,2020/03/18,Umgeni Water,Construction of a 12Ml Reservoir at Ozwathini (Phase3.3c),WK Construction SA (WK SA),"Cost adjustments to accommodate
new rates submitted by the Local
CPG Partner","R 5,431,084.61","R 1,746,908.44","R 3,684,176.17",2020/03/04,Not supported,Not Stated,Not Stated
178,2020/03/23,USAASA,Broadband connectivity for under serviced sites,Telkom-BCX,"COVID 19 outbreak resulting in
increasing demand on connectivity",Not stated,Not stated,Not stated,Not provided,Supported,Date of approval,Not Stated
179,2020/01/02,Wholesale and Retail SETA,Appeal: Office space,"Zuikerkop Group of Companies (Bronze door
properties)",Continuity of service,"R 948,010.79","R 272,846.12","R 2,957,601.35",2020/4/1,Conditional support,2020/04/01,9/30/2020
180,2020/01/03,Wholesale and Retail SETA,Appeal: Office space,Growth Point,Continuity of service,"R 1,944,022.47","R 429,173.65","R 5,108,347.51",2020/4/1,Conditional support,2020/04/01,9/30/2020
181,2020/01/04,Wholesale and Retail SETA,Apeaal: Office space,Kevin Paul Properties,Continuity of service,"R 541,244.12","R 206,752.26","R 1,723,282.24",2020/4/1,Conditional support,2020/04/01,9/30/2020
182,2020/01/05,Wholesale and Retail SETA,Appeal: Office space,Colosseum Century City ( Haevimax Pty Ltd),Continuity of service,"R 1,652,205.83","R 613,688.66","R 6,097,013.25",2020/4/1,Conditional support,2020/04/01,9/30/2020
183,2020/01/06,Wholesale and Retail SETA,Appeal: Office space,Redefine,Continuity of service,"R 15,115,883.98","R 5,578,034.00","R 29,896,280.99",2020/4/1,Conditional support,2020/04/01,9/30/2020
184,2020/01/07,Wholesale and Retail SETA,Appeal: Office space,Mantombi Mapanzela,Continuity of service,"R 691,514.79","R 325,596.81","R 2,092,038.80",2020/4/1,Conditional support,2020/04/01,9/30/2020
185,2020/01/08,Wholesale and Retail SETA,Appeal: Office space,Elegant Line Properties,Continuity of service,"R 1,081,517.28","R 304,142.56","R 3,063,097.90",2020/4/1,Conditional support,2020/04/01,9/30/2020
186,2020/01/09,Wholesale and Retail SETA,Appeal: Office space,Green Willows (Thomas Family Trust),Continuity of service,"R 588,650.40","R 538,578.35","R 1,138,990.51",2020/4/1,Conditional support,2020/04/01,9/30/2020
187,2020/02/26,Wholesale and Retail SETA,IT Systems,Solugrowth,Continuity of Service,"R 16,929,000.00","R 2,778,309.18","R 35,593,539.46",2020/2/26,Supported,2020/04/01,2020/8/30
188,2020/03/02,Wholesale and Retail SETA,IT Infrastructure Services,Internet Solutions,Continuity of Service,"R 7,000,126.10","R 14,000,252.20",R 0.00,2020/2/28,Not Supported,2020/04/01,2022/03/31
189,2020/03/02,Wholesale and Retail SETA,"ERP Systems Implementation, Maintenance & Support",Namiti Technologies and Tipp Focus,Continuity of Service,hourly rate,"R 9,300,000.00",R 0.00,2020/2/28,Not Supported,2020/04/01,2021/3/31
