,Department/ Entity,Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,Value of previous extensions,"Award/
Recommended date
by AO/AA","not supported/not
supported/Conditional
support",Contract Start Date,Contract End Date
1,ACSA,"Provision of occupational health and safety services at Cape Town Int
Airport",Red Cross Air Mercy Services,Continuity service,"4,720,000.00","1,080,000.00",0.00,2017/06/27,Conditional Support,Not stated,6 months
2,ACSA,"Provision of occupational health and safety services at Cape Town Int
Airport",Red Cross Air Mercy Services,Continuity service,"1,800,000.00","400,000.00",0.00,2017/06/27,Conditional Support,Not stated,6 months
3,ACSA,Optimization and reconfiguration of the lounge area at George Airport,"CSM consulting services (Pty)
Ltd",Unforseen Expansion of scope,"521,675.00","796,424.00",0.00,2017/08/21,Conditional support,2018/02/01,2018/05/31
4,ACSA,Fire station building upgrade at Kimberly Airport,Johan Lategan Architects cc,Unforseen Expansion of scope,616 925 .00,"1,709,617.00",0.00,2017/08/21,Conditional support,Not stated,Not stated
5,ACSA,Provision of cleaning services at ACSA airports,Supercare,Competitive bid progress in progress,"62,618,134.00","15,405,960.00","25,879,629.00",Not stated,Conditional Support,2017/07/01,2018/03/31
6,ACSA,Baggage operations,Beumer Group,Competitive bid progress in progress,"29,054,772.04","3,887,538.00","10,511,954.60",2017/07/14,Conditional Support,2017/08/01,2018/01/31
7,ACSA,Maintenance of baggage machine,Beumer Group,Competitive bid progress in progress,"89,954,078.00","11,184,721.00","27,558,901.00",2017/07/14,Conditional Support,2017/08/01,2017/07/31
8,AEMFC,Provision of legal opinion on a mining contract tender,"Edward Nathan and
Sonnenbergs Incorporated","The actual work done exceeded the scope of work
quoted for.","273,600.00","323,067.00",0.00,2017/08/02,Not supported,Not Stated,Not Stated
9,AEMFC,Provision of legal opinion on a mining contract tender,"(ENS)
Pule incorporated","The actual work done exceeded the scope of work
quoted for.","188,100.00","38,859.00",30210.00,2017/08/01,Not supported,Not Stated,Not Stated
10,AgriSETA,Audit Services,"Outsourced Risk Compliance
Assessment (ORCA)",Continuity of Service,"1,066,178.00","811,218.00","1,877,396",2017/08/11,Not Supported,Not stated,Not stated
11,Amatola Water,Installation of telephone system at No. 1 Lancaster Crescent,Hymax Border,Continuity service,"199,500.00","34,200.00","25,513.35",2017/07/17,Supported,9/1/2014,2019/08/31
12,Amatola Water,Upgrading of Nahoon Dam Complex Telephone System,Hymax Border,Continuity service,"199,500.00","319,982.04","25,513.35",2017/07/17,Not supported,9/1/2014,2019/08/31
13,Arts and Culture,Travel Management Services,Travel With Flair,Continuity of Service,0.00,0.00,0.00,2017/07/25,Conditional support,Not stated,Not stated
14,Basic Education,ASIDI School Building Programme in respect of Hlengiwe High Schoool,"Sackon Trading &
Construction","Addittional scope to include municipal water
connections and fencing as drilling failed.","548,185.21","146,022.50",30 860.94,2017/07/17,Not supported,Not stated,Not stated
15,Basic Education,ASIDI School Building Programme in respect of Mvuyo Primary Schoool,Rainbowmoon Services,"Addittional scope to include municipal water
connections and fencing as drilling failed.",762 480.64,"153,694.79",31 162.47,2017/07/17,Not supported,Not stated,Not stated
16,Basic Education,"ASIDI School Building Programme in respect of Bongaspoort Primary
Schoool",Sicelimpilo Construction,"Addittional scope to include municipal water
connections and fencing as drilling failed.","1,127,688.00","1 6,623.48",260637.25,2017/07/17,Not supported,Not stated,Not stated
17,Basic Education,"ASIDI School Building Programme in respect of Inkosentsha Primary
Schoool",Sicelimpilo Construction,"Addittional scope to include municipal water
connections and fencing as drilling failed.","1,111,386.25","1 6,623.48",260637.25,2017/07/17,Not supported,Not stated,Not stated
18,Basic Education,ASIDI School Building Programme in respect of Ngunjini Primary Schoool,Richards Bay Trustees,"Addittional scope to include municipal water
connections and fencing as drilling failed.","302,408.85","2 7,678.68",71355.97,2017/07/17,Not supported,Not stated,Not stated
19,Basic Education,"Water and Sanitation projects - Contract ceded from the Council for
Scientific and Industrial Research (CSIR)",Jo-Miniproc Engineering CC,"Additional work provided due to CSIR failure to
render the service",3 611 129.47,999 537.34,0.00,2017/07/18,Not supported,Not stated,Not stated
20,Broadband Infraco,Provision of security services,Servest Security,Extension of contract,"1,444,028.27","129,031.58","193,547.37",6/23/2017,Conditional support,7/1/2017,8/31/2017
21,CBE,Allegations against two staff members on corruption,Pricewaterhouse Coopers,Continuity of Service,62 114.00,"89,000.00",0.00,2017/06/30,Supported,2017/07/05,2017/08/16
22,CBE,Grievences lodged,"CheadleThompson and
Haysom",Continuity of Service,"74,409.60","80,538.33",0.00,2017/08/15,Conditional Support,2017/08/18,2017/09/22
23,CBE,IT Support Services,"E-Novative Africa
Technologies",Continuity of Service,"87,520.00","78,796.80",0.00,2017/09/05,Supported,2017/10/01,2018/03/31
24,CCMA,Telephone support and maintenance,ATIO,Continuity of service,"7,567,326.08","1,472,600.58",736 300.29,9/17/2017,Conditional support,10/1/2017,3/31/2018
25,CETA,Office lease,Slip Knot Investment,Continuity of Service,0.00,"4,560,000.00",0.00,2017/08/22,Not Supported,Not stated,Not stated
26,CETA,Discretionary Grants,"Dadani Trading CC and
Bavelile Consultants and
Training",Erronous SLA dates,0.00,"13,246,000.00",0.00,2017/08/28,Not Supported,Not stated,Not stated
27,CETA,Appeal:TTP facilities module on email system,Galix Networks,Continuity of Service,"203,060.45","18,742.62",0.00,2017/10/01,Conditional support,2017/10/01,2018/03/31
28,CETA,Travel Management Services,XI Nexus Travel,Continuity of Service,"11,515,646.66","370,000.00",0.00,2017/10/01,Supported,2017/10/01,2017/12/31
29,CIDB,Printers & maintenance,Sharp Electronics,Continuity of Service,"5,192,166.99","913,960.08","929,825.04",2017/04/13,Not Supported,2016/07/01,2016/09/30
30,CIPC,Supply of Bandwidth Connectivity,Mtn,Competitive Biding process underway,"90,229,524.00",Not stated,Not stated,2017/09/20,Conditional support,2017/10/01,2018/01/31
31,COGTA,Maintaining and licensing of procurement system (iQual),Predicate Logistics (Pty) Ltd,Continuity of services,"76,642.00","76,642.00",0.00,2017/08/18,Conditional Support,2017/10/01,Month to month
32,COGTA,Community Work Programme,4 Implementing Agents,Delays in issuing an RFP,Not stated,"59,156,675.32",0.00,2017/07/07,Conditinal Support,Not stated,2018/03/31
33,Compensation fund,"CF-filing implementation, support and maintenance",Interfile,Extension of contract,"20,208,279.49","95,555,914.45",0.00,7/21/2017,Conditional support,8/15/2017,8/14/2022
34,Council for medical schemes,Extension of Audit Services contract,Sekela Xabiso,Continuity of service,0.00,0.00,0.00,2017/07/20,Not supported,Not stated,Not stated
35,CPSI,Management of travel arrangements,Travel With Flair,Extension of contract,"107,838.71","64,016.38","149,758.74",7/25/2017,Supported,8/1/2017,9/30/2017
,Department/ Entity,Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,Value of previous extensions,"Award/
Recommended date
by AO/AA","not supported/not
supported/Conditional
support",Contract Start Date,Contract End Date
36,CPSI,Travel management services,TWF,Competitive bidding process in progress,"107,838.71","32,405.85","213,775.12",2017/09/05,Conditional support,2017/10/01,2 months
37,CSIR,Survey and collection of information of the bus shift,Techso Pty Ltd,"Incorrect calculation of shifts, additional shifts
required.","1,135,034.00","334,515.00",0.00,2017/08/31,Conditional support,Once-Off,Once-Off
38,CSIR,Security service,"Bidvest Protea Coin Group
(Pty) Ltd",Tender process not finalised yet.,"26,500,000.00","7 ,200,000.00","40,500,000.00",2017/09/14,Supported,2017/10/01,2018/02/28
39,DBSA,Maintenance of 2 chiller plants at Polokwane hospital,"Rewinding Power & Air-
conditioning",Variation of contract,"2,595,357.77","498,589.92",0.00,8/17/2017,Conditional support,8/22/2017,36 months
40,DBSA,Wi-Fi Ap cables procurement,Csi Thabile,Variation of contract,"233,996.21","80,412.30",0.00,8/18/2017,Conditional support,8/22/2017,36 months
41,Defence,Project management and consultancy services,Abaziyo Consulting Engineers,Continuity of service,Not stated,"77,101,676.00",0.00,Not stated,Not supported,Not Applicable,Not Applicable
42,Department of Transport,"Increase of scope on the development of the Money Bill and Transport
Appeal Tribunal.","Mncedisi Ndlovu and
Sedumedi Attorneys.",Additional scope of work,"1,908,796.62","700,000.00",0.00,2017/07/31,Conditional Support,Once off,Once off
43,Ditsong Museum,Placement of the CFO,Deloitte,Continuity of Service,"73,000.00","32,022.72",0.00,2017/09/13,Conditional support,2017/09/18,2017/12/17
44,DPSA,eDisclosure System,SITA,Extension of contract,"9,842,599.54","13,925,162.22",0.00,8/4/2017,Conditional support,4/1/2018,3/31/2021
45,DPSA,Travel Management Services,Travel With Flair,Continuity of service,"19,000,000.00",0.00,0.00,9/15/2017,Supported,10/1/2017,10/31/2017
46,DRDLR,Renewal of Novell software license through SITA,SITA,"Process of migrating to the Microsoft platform from
Novell still in progress",Not Stated,"3,056,150.00",Not Stated,2017/06/26,Conditional Support,2017/06/19,2018/03/31
47,DRDLR,"Professional fees adjustment for the Jacobsdal Recreational Centre in
Free State",Aurecon Consulting Engineers,Extensions to finalise the project,"2,356,806.00","319,629.00",1335279.00,2017/07/04,Conditional Support,Once-Off,Once-Off
48,DRDLR,"Special drillingsiting, drilling, equipping one borehole with an electrical
pump, conducting any applicable tests, supply and install two water
reservoir tanks",Makgofane Construction,"Dolomitic discovered, special drilling required.","759,171.00","194,073.00",0.00,2017/09/04,Not supported,Not Stated,Not Stated
49,DST,Temporary employment services,"Ashanti Personnel T/A Bridge
Personnel Concepts",Continuity service,"349,309.00","499,744.00",0.00,2017/06/27,Supported,2017/07/01,2017/09/30
50,DST,Security service,"Bidvest Protea Coin Group
(Pty) Ltd",Continuity of service - awaiting tender process,"584,213.00","109,403.00","522,249.00",2017/06/30,Supported,2017/07/01,3017/06/30
51,DST,Security service,"Bidvest Protea Coin Group
(Pty) Ltd",Continuity of service - awaiting tender process,"584,213.00","116,280.00","631,652.00",2017/06/30,Supported,2017/07/01,2017/09/30
52,DST,Temporary employment services,"Ashanti Personnel T/A Bridge
Personnel Concepts",Continuity of work,"9 7,509.00","313,884.00",0.00,2017/09/12,Conditional support,2017/10/03,2018/01/31
53,DTI,"Extension of implementation date for travel services as per National
Treasury Instruction Note 1 of 2017/2018.",Travel With Flair,Continuity of service,Not indicated,Not indicated,Not indicated,2017/09/05,Supported,2017/10/01,2018/02/28
54,Environmental Affairs,Arbitration enquiry,Meridian Specialised Skills,Continuity of Service,"100,000.00","300,000.00","300,000.00",2017/08/22,Conditional Support,2017/09/01,2018/08/31
55,Eskom,Fencing Terms Contract Western Cape Operating Unit,"Gordian Fence SA (Pty) Ltd
and Afriwire",Continuity of service,"33,333,333.00","15,000,000.00","23,094,634.00",2017/07/19,Conditional Support,2017/08/07,2017/12/03
56,Eskom,"Design, manufacture, testing and supply of composite insulators for
Transmission and Group Capital","Speedcraft Manufacturing (Pty)
Ltd, LAPP Insulators and NGK
Insulators Ltd",Continuity of service,"69,043,131.00","77,219,122.00","12,922,456.00",2017/07/27,Conditional Support,2017/08/01,2018/01/31
57,Eskom,"Construction of a new dedicated walkway and the upgrades to the existing
carpark at Duvha Power Station","Shando Ka Ndaba Business
Enterprise CC",Continuity of service,"2,281,803.00",0.00,0.00,2017/07/21,Conditional Support,2017/08/15,2017/10/15
58,Eskom,Provision of security services at Medupi Power Station Project,Fidelity Security Group,Align contract with national security contracts,"64,921,843.00","41,355,898.00","12,209,715.00",2017/07/27,Supported,2017/08/01,2018/01/31
59,Eskom,"Construction of substations (Primary and Control Plant) for the projects in
the North West Operating Unit (NWOU) on and as and when required
basis",20 various panel contractors,Finalise projects allocated.,"97,284,573.00","56,982,076.00","220,920,182.00",2017/07/20,Supported,2017/08/11,2018/02/10
60,Eskom,Paulputs Second Transformer Upgrade,"High Voltage Technology (Pty)
Ltd",Continuity of service,"2,374,059.00",0.00,0.00,2017/04/13,Conditional Support,2017/08/01,2018/01/31
61,Eskom,"Supply of three (3) PSA NITROGEN Generation Plants at Kusile Power
Station",Nugen Technologies (Pty) Ltd,Continuity of service,"20,981,016.00",0.00,"15,106,318.00",2017/07/20,Supported,2017/08/20,2018/01/18
62,Eskom,The provision of Engineering Project Management Services,Thabile Engineering cc,Continuity of service,"1,571,250.00","610,292.00",0.00,2017/07/03,Conditional Support,2017/08/31,2018/02/18
63,Eskom,"The detailed design and construction of the spares storage facility and
provision of services to the spares storage facility","Vuka Magagula Trading and
Projects CC",Continuity of service,"5,409,602.00",0.00,0.00,2017/07/20,Supported,2017/08/16,2018/03/31
64,Eskom,"Provision of Engineeing and Project Management Services at Kusile
Power Station",Zitholele JV,Additional scope of work,"7,898,985.00","590,816.00",0.00,2017/07/19,Conditional Support,2017/08/01,2017/09/30
65,Eskom,"Supply and delivery of office chairs (total number requested is 9217,
approval was granted as follows: Megawatt 311 of 500, Braamfontein 225
of 225 and Academy of learning 108 of 130. 8362 still to be verified)",Gxakwe’s projects cc,Additional needs requirements,"72,740,687.00",Not indicated,0.00,2017/07/31,Conditional Support,Once off,Once off
66,Eskom,Contruction of civil related works,Gebane Investments cc,Complete the remaining scope of work,"26,577,903.00",0.00,0.00,2017/07/20,Conditional support,2016/05/16,2017/07/25
67,Eskom,Car parks and walkways at Dovha power Station,"Shando ka Ndaba Business
Enterprise",Continuity of service,"2,241,803.00",0.00,0.00,2017/07/19,Conditional support,2017/03/01,2017/10/15
68,Eskom,Supply and delivery of liquid sulphur,Ukhamba Lobuntu Chemicals,"Allow business continuity and finalisation of tender
process","17,000,000.00",5320349.04,"32,770,594.46",2017/08/14,Conditional support,Not stated,3 months
69,Eskom,Supply of Petrol and Diesel to various Eskom and subsidiaries' stations,"Masana Petroleum Solutions
and Makwande Energy
Solutions",Continuity of service,"1,757,463,159.00",0.00,0.00,2017/07/20,Conditional support,2011/06/09,2017/08/21
70,Eskom,"Modification of contract with Stefanutti Stocks and Mathomomayo Joint
venture Pty Ltd for raw water pump station and sub-station at Medupi
power station","Stefanutti Stocks and
Mathomomayo Joint venture
Pty Ltd",Continuity of service,"194,885,592.30","76,165,226.28",0.00,2017/06/30,Conditional support,Not stated,12 months
71,Eskom,Fencing Terms Contract Western Cape Operating Unit,"Gordian Fence SA (Pty) Ltd
and Afriwire",Continuity of service,"33,333,333.00","15,000,000.00",0.00,2017/07/19,Conditional Support,2014/12/04,2017/12/03
,Department/ Entity,Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,Value of previous extensions,"Award/
Recommended date
by AO/AA","not supported/not
supported/Conditional
support",Contract Start Date,Contract End Date
72,Eskom,"Design, manufacture, testing and supply of composite insulators for
Transmission and Group Capital","Speedcraft Manufacturing (Pty)
Ltd, LAPP Insulators and NGK
Insulators Ltd",Continuity of service,"69,043,131.00","77,219,122.00",0.00,2017/07/27,Conditional Support,2017/08/01,2017/01/31
73,Eskom,Technical Support services for Majuba Rail Project for time only,Aecom (Pty) Ltd,Continuity of service,"32,122,397.15",0.00,0.00,2017/08/04,Supported,2017/06/30,2018/12/31
74,Eskom,"Design, Manufacture and supply of various pole top and ground mount
transformers on an as and when required basis.","Actom Distribution
Transformers (Pty) Ltd, Electro
Inductive Industries (Pty) Ltd
and Revive Electrical
Transformers (Pty) Ltd",Increase in estimated quantities,462 010 202.74.,"485,317,001.77",0.00,2017/08/01,Conditional support,Not stated,2017/10/31
75,Eskom,"Panel of live work maintenance servives on the MV Network (11kv-33kv)
and associated projects within the Limpopo Operating Unit.",Panel of 61 Contractors,Continuity of service,"100,000,000.00","93,164,690.82",0.00,2017/08/01,Conditional support,2017/08/01,2018/07/31
76,Eskom,"Manufacture, supply and delivery of air heaters and draught plant spares",Howden Africa (Pty) Ltd,Original Equipment Manufacturer,"340,632,000.00","165,528,000.00","954,800,000.00",2017/07/20,Conditional support,2017/07/01,2018/06/30
77,Eskom,Technical Support and Maintenance Services,Howden Africa (Pty) Ltd,Original Equipment Manufacturer,"747,042,000.00","564,300,000.00","3,027,270,000.00",2017/07/20,Conditional support,2017/07/01,2018/06/30
78,Eskom,"Provision of verification and technical assurance services on construction
work for Majuba Rail Project",Transnet Capital Projects,Continuity of service,"95,833,315.22",0.00,0.00,2017/07/07,Conditional support,2017/07/01,2018/06/30
79,Eskom,66kv and 132kv circuit breakers,ABB South Africa (Pty) Ltd,Competitive bid process in progress,"81,714,088.00","56,245,280.00","15,756,448.00",2017/09/27,Conditional support,Not stated,20 Months
80,Eskom,"Maintenance and outage repair services for boiler pressure parts and or
maintenance and outage repair services for high pressure pipework for 13
fossil fired power stations","Actom (Pty) Ltd, Babcock
Ntuthuko Engineering (Pty) Ltd
and Steinmuller Africa (Pty)",Competitive Biding process underway,"846,600,000.00","10,098,875,057.57","8, 116,218,594.30",2017/08/29,Conditional support,2017/10/01,2017/12/31
81,Eskom,"Online vending system and prepaid support gateway licence, maintenance
and support",Ontec Systems (Pty) Ltd,Sole distributor,"337,979,043.00","1,115,330,571.00","1,013,937,130.00",2017/08/25,Not supported,Not stated,Not stated
82,Eskom,"Online vending system and prepaid support gateway licence, maintenance
and support",Ontec Systems (Pty) Ltd,Sole distributor,"337,979,043.00","1,115,330,571.00","1,013,937,130.00",2017/09/04,Conditional support,2017/10/01,2018/09/30
83,Eskom,"The supply of compressed air quality equipment at Kusile Power StationN
(P13A)","Ingersoll Rand South Africa
(Pty) Ltd",Additional scope of work,"91,999,467.00","5,415,274.00",0.00,2017/09/19,Not supported,2017/08/30,6 months
84,Eskom,"Provision of rail transportation from Danielskruil to Vereeniging, handling
and storage at Vereeniging and road transportation from Vereeniging to
Kusile Power Station","Idwala Industrial Holdings (Pty)
Ltd",Expansion of scope,"72,101,551.00","192,651,450.00",0.00,2017/08/30,Conditional Support,2017/10/01,2018/01/31
85,Eskom,Offshore manufacturing inspection services for Medupi Power Station,"New Age Engineering
Solutions, ISO-Q & RBI",Expansion of scope,"108,518.40",0,"316,512.00",2017/09/14,Conditional Support,2017/10/01,Not stated
86,Eskom,"Non-statutiry off-site ad-hoc manufacturing inspection services for Medupi
Power Station",TUV-Nord,Expansion of scope,"2,746,224.00",0.00,"3,520,800.00",2017/09/04,Conditional Support,2017/10/01,2018/01/31
87,Eskom,"The supply, erection and dismanting of scaffolding and insulation material
for generation power stations including group capital","Southey Contracting (Pty) Ltd,
Kaefer Thermal Contracting
Services, SGB-Cape and TMS
Group Industrial Services (Pty)
Ltd",Competitive bid process in progress,"329,130,000.00","1,277,740,531.00","4,206,957,068.00",2017/09/01,Conditional Support,2017/10/01,2018/03/31
