,Department/ Entity,Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,Value of previous extensions,"Award/
189,SANRAL,Rehabilitation of N11 Section 10,KPMM Roads & Earthworks,Continuity of service,"376,050,000.00","22,740,086.45",0.00,2017/06/29,Conditional Support,Not stated,7 months
190,SANRAL,Consulting Engineering sercies - Bridge expansion joints of strategic,Mowana Consulting Engineers,Addiitonal scope of work,"4,207,013.82","7,481,033.40",0.00,2017/06/29,Conditional Support,Not stated,4 months
191,SANRAL,"longspan bridges on various routes in the Western Cape
Rehabilitation of N6 Rouxville",Aurecon SA (Pty) Ltd,Addiitonal scope of work,"41,154,000.00","47,666,241.68",0.00,2017/02/16,Conditional Support,Not stated,4 months
192,SANRAL,Legal opinion,"Motlhe Jooma Sabdia
Attorneys",Continuity of service,"32,000.00","258,552.00",0.00,2017/08/25,Conditional Support,Once off,Once off
193,SANRAL,"Extend a contract for the resurfacing of National Route R510 section 3
from Thabazimbi to Honingvley and from Honingvley to Hartbeesdrift","Actophambili Pty Ltd JV
Tshireletso Traffic and Road
Management cc",Repairs due to pavement failure,"91,657,003.20","54,402,553.32",0.00,2017/08/08,Conditional support,Not stated,7 months
194,SANRAL,"Professional engineering services for the construction of gravel access
roads in the Mbhashe Local Municipality phase 2 and 3","Delta Built Environment
Consultants pty ltd",Continuity of service,"3,751,843.25","857,987.29",0.00,2017/08/08,Conditional support,Not stated,3 months
195,SANSA,Security service,Fidelity Security Service,Continuity service,"4 ,684,495.00","4 ,058,328.00",0.00,2017/07/31,Conditional Support,2017/10/01,2020/09/30
196,SANSA,"Managing the logistics around the conference and procuring sponsorships
and organising exhibition when hosting 37 International Symposiums",African Agenda,Ommission of other items,"3,531,585.00","839,296.00",0.00,2017/05/05,Conditional support,Not Stated,Not Stated
,Department/ Entity,Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,Value of previous extensions,"Award/
Recommended date
by AO/AA","not supported/not
supported/Conditional
support",Contract Start Date,Contract End Date
197,SANSA,Project management consulting services,"Cybicom Atlas Defence (Pty)
Ltd",Continuity of work,"13,300,000.00",0.00,0.00,2017/08/16,Supported,2017/07/01,2019/06/30
198,SANSA,System Engineering support,"Cybicom Atlas Defence (Pty)
Ltd",Continuity of work,"13,300,000.00",0.00,0.00,2017/08/16,Supported,2017/07/01,2019/06/30
199,SAPO,Network Managed Service,Telkom SA,Prefered supplier,"551,800,000.00","978,877,700.00",0.00,2017/06/29,Not Supported,Not stated,Not stated
200,SAPO,"Technical support services for Oracle licenses for the DTT STB failover
system through SITA",SITA,Continuity of Service,0.00,"518,235.02",0.00,2017/06/29,Not supported,Not stated,Not stated
201,SAPO,Appeal: Disaster Recovery,"Bankserveafrica Managed
Network",Continuity of Service,0.00,"330,286.48",0.00,2017/07/28,Not Supported,Not stated,Not stated
202,SAPO,Appeal:Network Managed services,Telkom SA,Continuity of Service,"551,000,000.00","978,877,700.00",0.00,2017/08/08,Not Supported,Not stated,Not stated
203,SAPO,Customer support services,Oracle,Continuity of Service,"10,087,421.40","1,695,447.80",0.00,2017/07/13,Supported,2017/04/01,2017/03/31
204,SAPO,IT Support Services,Nextexchange,Continuity of Service,"10,700,000.00","1,740,000.00",0.00,Once off,Supported,Once off,Once off
205,SAPO,IT Development Partner,FUSE IT,Continuity of Service,"864,000.00","9,887,896",0.00,2017/10/01,Not Supported,2017/10/01,9/31/2020
206,SAPO,Appeal: TeamMate audit software,"Wolters Kluwer Tax &
Accounting",Continuity of Service,"223,000.00","261,697.61",0.00,2018/01/01,Conditional support,2018/01/01,2018/12/31
207,SAPO,Customer support services,Oracle,Continuity of Service,0.00,"539,437.64",0.00,2017/06/14,Not Supported,Not stated,Not stated
208,SAPO,Appeal:Network connectivity - Disaster Recovery,"Bankserveafrica Managed
Network",Continuity of Service,0.00,"330,286.48",0.00,2017/09/20,Conditional support,2017/10/01,2020/09/30
209,SARS,Network infrastructure services,Internet Solutions,Extension of contract,"866,338,252.47","51,361,567.00","430,212,599.78",7/28/2017,Conditional support,9/1/2017,8/31/2019
210,SARS,Provision of physical security,Various service providers,Extension of contracts,"395,737,186.77","93,000,000.00",0.00,8/7/2017,Supported,11/1/2017,4/30/2018
211,SARS,SARS eSourcing Phase II implementation,Bayajula,Extension of contract,"2,133,407.40","587,420.11",0.00,8/28/2017,Conditional support,10/1/2017,11/30/2017
212,SARS,Lease agreement- Nigel,Layhitha Properties,Continuity of service,"5,104,520.56","5,680,076.61","5,287,049.39",9/6/2017,Conditional support,12/1/2017,11/30/2022
213,SARS,Lease agreement- Vereeniging,Revenue House (PTY)Ltd,Continuity of service,"6,894,680.43","4,951,922.82","28,641,530.93",9/6/2017,Conditional support,12/1/2017,11/30/2018
214,SARS,Lease agreement- Randfontein,SA Dutch Investment,Continuity of service,"5,448,289.63","18,075,384.75","15,497,493.83",9/6/2017,Conditional support,12/1/2017,11/30/2022
215,SARS,Lease agreement- Port Shepstone,Zelpy 1494 (PTY)Ltd,Continuity of service,"4,711,159.52","7,565,097.17","2,378,446.39",9/6/2017,Conditional support,12/1/2017,11/30/2022
216,SARS,Lease agreement- Umhlanga,Ahmed Suleman Family Trust,Continuity of service,"18,298,036.34","26,885,818.62",0.00,9/6/2017,Conditional support,1/1/2018,12/31/2022
217,SARS,Lease agreement- Kroonstad,"54 Hillstreet Investment
(PTY)Ltd",Continuity of service,"6,474,156.67","23,740,304.19","15,004,187.74",9/6/2017,Conditional support,1/1/2018,12/31/2022
218,SARS,Lease agreement- East London,Waverly Office Park,Continuity of service,"154,000,422.73","134,642,043.67",0.00,9/6/2017,Conditional support,2/1/2018,1/31/2023
219,SARS,Lease agreement- Veale Street,Growth Point,Continuity of service,"44,210,693.74","24,510,520.55","34,167,505.18",9/6/2017,Conditional support,10/1/2017,9/30/2019
220,SARS,Lease agreement- Brainley Warehouse- Silverton,"Brianley Properties Share
Block (Pty) Ltd",Continuity of service,"2,720,101.68","2,727,322.71","7,938,575.84",9/6/2017,Conditional support,10/1/2017,9/30/2019
221,SARS,Lease agreement- Upington,Ancorley Gebou EDMS BPK,Continuity of service,"1,318,999.33","15,107,538.70","14,369,559.76",9/6/2017,Conditional support,2/1/2018,1/31/2023
222,SARS,Lease agreement- Maseru Bridge/ Ladybrand,DRB Development Trust,Continuity of service,"135,960.00","236,095.78",0.00,9/6/2017,Conditional support,10/1/2017,2020/09/31
223,SARS,Lease agreement- Maseru Bridge/ Ladybrand,DRB Development Trust,Continuity of service,"135,960.00","236,095.78",0.00,9/6/2017,Conditional support,10/1/2017,2020/09/31
224,SARS,Lease agreement- Maseru Bridge/ Ladybrand,DRB Development Trust,Continuity of service,"135,960.00","236,095.78",0.00,9/6/2017,Conditional support,10/1/2017,2020/09/31
225,SARS,Lease agreement- Maseru Bridge/ Ladybrand,DRB Development Trust,Continuity of service,"135,960.00","244,235.76",0.00,9/6/2017,Conditional support,10/1/2017,2020/09/31
226,SARS,Lease agreement- Maseru Bridge/ Ladybrand,DRB Development Trust,Continuity of service,"135,960.00","244,235.76",0.00,9/6/2017,Conditional support,10/1/2017,2020/09/31
227,SARS,Lease agreement- Maseru Bridge/ Ladybrand,DRB Development Trust,Continuity of service,0.00,"1,007,644.86",0.00,9/6/2017,Conditional support,10/1/2017,2020/09/31
228,SARS,Lease agreement- Maseru Bridge/ Ladybrand,DRB Development Trust,Continuity of service,"98,880.00","214,701.98",233583.53,9/6/2017,Conditional support,10/1/2017,2020/09/31
229,SARS,Lease agreement- Maseru Bridge/ Ladybrand,DRB Development Trust,Continuity of service,"98,880.00","380,165.55",233583.37,9/6/2017,Conditional support,10/1/2017,2020/09/31
230,SARS,Lease agreement- Maseru Bridge/ Ladybrand,DRB Development Trust,Continuity of service,"98,880.00","225,398.88",211826.46,9/6/2017,Conditional support,10/1/2017,10/31/2020
231,SARS,Lease agreement- Lebombo/Komatipoort,Esselens Engelbrechts,Continuity of service,"462,945.60","606,844.52","792,543.36",8/31/2017,Conditional support,10/1/2017,2020/09/31
232,SARS,Lease agreement- Van Rooyens Gate/ Wepener,Limakatso Johanna Ramoeli,Continuity of service,"133,711.20","212,183.40","169,200.14",8/31/2017,Conditional support,11/1/2017,10/31/2020
233,SARS,Lease agreement- Caledonspoort/Fouriesburg,Maditaba Hilda Ntono,Continuity of service,"135,960.00","281,625.24","200,648.00",8/31/2017,Conditional support,11/1/2017,10/31/2020
234,SARS,Lease agreement- Lebombo/Komatipoort,GP Dibakoane,Continuity of service,"176,000.00","282,703.68","359,688.54",8/31/2017,Conditional support,11/1/2017,10/31/2020
235,SARS,Lease agreement- Lebombo/Komatipoort,Zelda Botha Properties,Continuity of service,"233,496.00","231,472.80","219,729.00",8/31/2017,Conditional support,11/1/2017,10/31/2020
236,SARS,Lease agreement- Lebombo/Komatipoort,Zelda Botha Properties,Continuity of service,"233,496.00","231,472.80","213,111.00",8/31/2017,Conditional support,11/1/2017,10/31/2020
237,SARS,Lease agreement- Lebombo/Komatipoort,Zelda Botha Properties,Continuity of service,"149,154.49","290,809.31","370,879.23",8/31/2017,Conditional support,10/1/2017,2020/09/31
238,SARS,Lease agreement- Lebombo/Komatipoort,Zelda Botha Properties,Continuity of service,"60,276.00","258,062.29","279,486.46",8/31/2017,Conditional support,11/1/2017,10/31/2020
239,SARS,Lease agreement- Lebombo/Komatipoort,Zelda Botha Properties,Continuity of service,"173,604.60","270,051.60","299,023.92",8/31/2017,Conditional support,1/1/2018,12/31/2020
240,SARS,Travel Management Services,Tourvest Travel Services,Continuity of service,"18,284,494.99","5,700,340.83",0.00,9/7/2017,Not supported,3/1/2018,2/1/2019
241,SARS,Lease agreement,Klein Karoo Fonds,Continuity of service,"160,478.25","497,229.63","401,856.07",9/12/2017,Conditional support,1/1/2018,12/31/2022
242,SARS,Lease agreement,National Port Authority,Continuity of service,"233,647.28","776,825.24","655,321.62",9/12/2017,Conditional support,1/1/2018,12/31/2022
243,SARS,Lease agreement,Klein Baloyi Game Lodge,Continuity of service,"720,000.00","300,000.00","640,000.00",9/12/2017,Conditional support,11/1/2017,10/31/2018
244,SARS,Lease agreement,ACSA,Continuity of service,"7,340,075.23","13,523,156.31","75,697,084.93",9/12/2017,Conditional support,1/1/2018,12/31/2027
245,SARS,Lease agreement,ACSA,Continuity of service,"3,310,021.59","1,005,852.84",0.00,9/12/2017,Conditional support,1/1/2018,12/31/2027
246,SARS,Lease agreement,"Tannek CC/ Prinsloo Street 13
Properties",Continuity of service,"105,108.60","149,097.84","769,212.75",9/12/2017,Conditional support,11/1/2017,10/31/2018
247,SARS,Lease agreement,"Spoornet a division of Transnet
LTD",Continuity of service,"262,628.64","1,372,340.03","4,100,841.51",9/12/2017,Conditional support,1/1/2018,12/31/2027
248,SARS,Lease agreement,Gateway airport Authority LTD,Continuity of service,"599,545.15","1,308,141.77","4,245,558.19",9/12/2017,Conditional support,4/1/2018,3/31/2028
249,SARS,Lease agreement,Die Bosch Family Trust,Continuity of service,"882,710.02","3,357,709.97",0.00,9/12/2017,Conditional support,4/1/2018,3/31/2028
250,SARS,Lease agreement,National Port Authority,Continuity of service,"318,054.82","791,723.62",270683.74,9/12/2017,Conditional support,10/1/2018,9/30/2028
251,SARS,Lease agreement- Fedsure Building,SKG Properties,Continuity of service,"15,250,614.44","5,700,000.00","21,547,870.85",9/18/2017,Conditional support,12/1/2017,2018/11/31
,Department/ Entity,Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,Value of previous extensions,"Award/
Recommended date
by AO/AA","not supported/not
supported/Conditional
support",Contract Start Date,Contract End Date
252,SARS,Media monitoring and analysis services,Newsclip Media Monitoring,Continuity of service,"478,996.56","79,832.76",119749.14,9/27/2017,Conditional support,10/1/2017,11/30/2017
253,SARS,"Supply, installation and maintenance of sanitary and health care
equipment",Bidvest Steiner,Continuity of service,"47,806,770.43","4,324,247.13","2,882,831.42",2017/08/22,Conditional support,10/1/2017,11/30/2017
254,SARS,Online recruitment services,Interactive Junction Holdings,Continuity of service,"348,894.86","93,770.56",0.00,2017/09/19,Supported,2017/10/01,2017/12/31
255,SARS,Render forensic investigation services,Grant Thornton,Continuity of service,"12,481,996.80","50,000,000.00",1872299.52,2017/09/30,Not supported,2017/09/18,2018/04/30
256,SASSA,Extension of RT3-2012 transversal contract for 24 months,"Bytes Universal Systems (Pty)
Ltd",SLA provided for renewal of contract,"3,378,672.00","563,112.00",Not indicated,2017/04/05,Conditional support,2017/10/01,Not stated
257,SEDA,Travel Management services,Travel with Flair,Continuity of Service,"3,515,000.00","81,666.00","976,004.00",2017/09/15,Supported,2017/10/01,2017/11/30
258,Sentech,VSAT Network supply and maintenance,Aucom,Continuity of service,"12,777,380.05","4,923,360.00",0.00,2017/06/17,Conditional support,2017/09/01,7 years
259,SITA,Procurement of symantec data loss prevention software licenses,XON Systems,Expansion of scope,"191,862.00","726,878.13",0.00,6/28/2017,Supported,7/12/2017,8/31/2020
260,SITA,Procurement of additional 450 IP Granite licenses,"Foursight IT Business
solutions",Expansion of scope,"1,251,699.00",1500000.00,0.00,6/28/2017,Supported,7/7/2017,8/31/2020
261,SITA,Provision of office space and Data Centre,Black River Investment,Extension of contract,"27,000,000.00","28,000,000.00",0.00,7/14/2017,Supported,12/1/2017,11/30/2019
262,SITA,Lease agreement- Nelspruit,Klipkoppie,Continuity of service,"5,590,796.00","1,419,853.23","3,494,178.77",7/24/2017,Supported,8/1/2017,7/31/2018
263,SITA,"Provision of onsite LAN and workspace desktop support, hardware
maintenance ans support; UTP/Fibre data point- KZN DoH",Datacetrix,Expansion of scope,"87,611,890.55","16,502,621.75",0.00,8/4/2017,Conditional support,8/1/2017,8/31/2018
264,SITA,Lease of corporate office space and Tier 3 Data centre,Black River Investment,Continuity of service,"21,606,291.48","62,272,688.39","78,922,775.85",9/29/2017,Supported,12/1/2017,11/30/2022
265,SIU,Office accommodation,Growth Point Properties Ltd,Continuity of service,39 685 515.00,"18,181,015.00",0.00,Not dated,Conditional Support,Not stated,5 years
266,StatsSA,Support and maintenance of 2 x HP P6300 storage and 4 x SAN switches,Business Connexion,Extension of contract,"1,711,035.12","1,709,370.72",0.00,6/6/2017,Supported,8/29/2017,3/31/2018
267,StatsSA,Long management module (FortSiem),EOH Mthombo,Extension of contract,"261,472.11","2,961,396.70",0.00,8/11/2017,Not supported,8/17/2017,2/1/2020
268,TCTA,"Operation, Maintenance and Management of Eastern Basin Acid Mine
Drainage Treatment Plant",CMC-PGM EB JV,Continuity service,"956,141,123.68","14,000,000.00","1 84,747,648.70",2017/07/05,Conditional Support,2017/08/17,2017/10/17
269,TCTA,"Operation, Maintenance and Management of Central Basin Acid Mine
Drainage Treatment Plant",Intelligent Water Solution,Continuity service,"61,667,460.66","21,000,000.00",0.00,2017/07/05,Not supported,2017/07/01,2017/09/30
270,TCTA,Annual report printing from 200 to 260 copies,Broadsword Communications,Continuity of work,"7 4,565.12","18,276.48",0.00,2017/08/25,Supported,Once-Off,Once-Off
271,TCTA,Placement of a Senior Manager: Company Secretary,Banqobi Consulting,Continuity of work,"184,680.00","184,680.00",0.00,2017/08/08,Not supported,2017/08/17,2018/02/28
272,TETA,Installation of telephones and video conferencing,Ubuntu Technologies,Continuity of Service,"1,989,932.22","560,000.00",0.00,2017/06/29,Conditional support,Not stated,Not stated
273,TETA,Chairing of a disciplinary process,Tokiso Dispute Settlement,Continuity of Service,"100,000.00","96,000.00",0.00,2017/07/07,Conditional support,Not stated,Not stated
274,TETA,Appeal 2:Indicium,Deloitte,Expansion of scope,"5,950,800.00","7,829,801.88",0.00,3/16/2017,Not supported,2018/04/01,2020/03/03
275,TETA,Chairing of a disciplinary process,PL Samuels Attorneys,Continuity of Service,"120,000.00","120,000.00",0.00,2017/09/12,conditional support,Not stated,Not stated
276,TIA,Customization of the grant management system,Praxis Technologies,Delays in the project due to strategy changes,"2,726,700.00","937,878.00",0.00,2017/09/22,Not supported,Not stated,Not stated
277,Tourism,Appeal: Provision of technical advise for the renewable energy projects,McDonald/Phambili Merz,Continuity of Service,"3,000,000.00",0.00,"800,000.00",2017/07/11,Conditional Support,2017/04/01,2017/05/31
278,Tourism,Appeal: Provision of technical advise for the renewable energy projects,WSP/Parsons,Continuity of Service,"3,700,000.00",0.00,"1,891,975.00",2017/07/11,Conditional Support,2017/04/01,2017/05/31
279,Tourism,National Dialogue on sharing economy,Birchwood Hotel,Expansion of Scope,"55,020.00","9,930.00",0,2017/07/24,Not Supported,2017/07/06,2017/07/06
280,Transnet,"Manufacturer, supply, delivery and commissioning of fourteen (14) fifth-
wheel Haulers","Equestra TA Equipment (Pty)
Ltd",Additional scope,"24,281,384.00","29,402,080.00","7,463,361.00",2017/07/20,Conditional Support,2017/08/01,2018/03/31
281,Transnet,Equestrian Security Services,"Afriguard and Sinqobile
Equestrian Security Services",Competitive bid process in progress,"102,831,138.44","64,279,497.03",0.00,Not dated,Conditinal Support,2017/07/20,2018/03/31
282,Transnet,Provision of IT Outsourcing,"T-Systems South Africa (Pty)
Ltd","Continuity of services while finalising the bidding
process","1,986,552,619.00","663,550,085.00","1,874,532,142.00",2017/09/08,Conditional Support,2017/10/01,2018/03/31
283,Transnet,"Provision of specialised information gathering, investigation and effects
based security services","Combined Private
Investigations (CPI)",Competitive bid process in progress,"165,869,545.00","41,467,386.00","13,822,462.00",2017/09/27,Conditional Support,2017/10/01,8 months
284,Transnet,Occupational health care services,Prime Cure Helath (Pty) Ltd,Finalisation of investigation,"86,545,413.12","24,600,000.00",0.00,2017/07/25,Conditinal Support,Not stated,4 months
285,Transnet,"Provision of SAP personnel to assist in supporting and maintaining the
following SAP modules: Finance/Control (FI/CO), Material Management
(MM), Sales and Distribution (SD), SAP Plant Maintenance (PM) and other
modules",EOH Mthombo (Pty) Ltd,Continuity of service,"9,012,720.00","2,114,400.00",0.00,2017/07/03,Not supported,2017/07/01,2017/09/30
286,Transnet,Helicopter maintenance and Skills Development for employees,Denel Aviation Soc Ltd,"Increase in the components required to keep the
helicopter fully operational","153,555,758.73","172,993,275.37",0.00,2017/07/05,Conditional support,2014/07/01,2019/06/30
287,Transport,"Developping an integrated public transport network plan in OR Tambo
district Municipality",SMEC South Africa,Processing of final payment,"1,963,650.00","813,287.40",0.00,2017/07/19,Conditional Support,Once off,Once off
288,UIF,Maintenance and servicing of lifts,Schindler Lifts,Extension of contract,"1,268,722.68","300,000.00",0.00,7/26/2017,Supported,8/2/2017,12 months
289,UIF,Document storage and retrieval services,Metrofile,Extension of contract,"2,995,419.65","1,240,980.12","2,565,240.57",7/27/2017,Supported,10/19/2017,36 months
290,Umalusi,Co-sourcing engagement partner model to develop custom software,EOH Mthombo,Continuity of service,3 217 356.00,903 769.20,"7,025,637.60",7/17/2017,Conditional support,01/09/2017,31/10/2017
291,USAASA,Travel Management Services,"XL Nexus Travel, Tourvest
Travel, Travel With Flair &",Continuity of service,"11,903,000.00","598,667.00","1,517,000.00",8/30/2017,Supported,9/1/2017,9/30/2017
292,Water and Sanitation,Point-to-point layer link to the Sedibeng building to Continental building,Neotel (Pty) Ltd,Continuity of service,"4 7,828.28","47,828.28",0.00,2017/09/08,Not supported,2017/09/09,2017/11/08
293,Weather Services,Labour related legal services,Fasken Martineau,Continuity of Service,"400,000.00","53,000.00","2,662,288.40",2017/09/15,Conditional support,2017/09/26,2017/10/31
294,Women,Physical Security Guarding,"JSJ Security and Cleaning
Services",Re-advertisement of tender,"1,346,112.00","183,055.56","183,055.56",2017/08/22,Conditional support,2017/09/01,2017/11/01
